Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,SRAM,Payload
0.0,1.487852562265246e-07,0.0,0.00027916638967850904,2.0926869030990503e-06,0.0,0.0002701032602846487,0.0,1.4878525622652e-07,0.00028125849237376063,0.0002701032602846487,0.0005514344870556664
0.01639,3.121139277158996e-07,0.0,0.0005842252534708199,4.3874091990714385e-06,0.0,0.0005652518046341599,0.0,3.121139277159e-07,0.0005886100994346399,0.0005652518046341599,0.0011538409450430579
0.03333,5.080185845746566e-07,0.0,0.0009474870952289836,7.134854845197484e-06,0.0,0.0009166985264469264,0.0,5.0801858457466e-07,0.0009546151898912891,0.0009166985264469264,0.001870945690367312
0.04972,7.378544621612604e-07,0.0,0.001369627245094902,1.0350309025355406e-05,0.0,0.0013250870746344982,0.0,7.3785446216126e-07,0.001379963378055021,0.0013250870746344982,0.0027039577409316237
0.06667,1.0376186441675538e-06,0.0,0.001913752955529533,1.4531029605048499e-05,0.0,0.0018514545044635007,0.0,1.03761864416755e-06,0.001928256176333728,0.0018514545044635007,0.0037771743026640725
0.08306,1.413057437569534e-06,0.0,0.0025859782017830274,1.9747600785071586e-05,0.0,0.002501697352857704,0.0,1.41305743756953e-06,0.0026056747357029314,0.002501697352857704,0.005102259328610542
0.1,1.921530871849118e-06,0.0,0.0034827499898534885,2.6782446590094548e-05,0.0,0.003369088261593395,0.0,1.92153087184912e-06,0.0035094391598779937,0.003369088261593395,0.006868612147481555
0.11639,2.564158719742995e-06,0.0,0.0045981096511283,3.5631568374366884e-05,0.0,0.004447846265036927,0.0,2.564158719743e-06,0.00463357738164424,0.004447846265036927,0.009063355132184446
0.13333,3.413543279058888e-06,0.0,0.006048730033944133,4.727058469882674e-05,0.0,0.0058508099742061274,0.0,3.41354327905889e-06,0.00609571469163757,0.0058508099742061274,0.011914232682569597
0.15,4.453431147875083e-06,0.0,0.007796569536092998,6.14490464134056e-05,0.0,0.0075411986673982875,0.0,4.45343114787508e-06,0.007857539490743116,0.0075411986673982875,0.015343868009621755
0.16639,5.6824957346896045e-06,0.0,0.009831008364076231,7.812483657936099e-05,0.0,0.009508773890488488,0.0,5.6824957346896e-06,0.009908365154733739,0.009508773890488488,0.019328495334650666
