Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,WDOG_TID,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,Harden MCU,Frozen MCU,WDOG,SRAM,Harden SRAM,Payload
0.0,1.0000000000000309,0.0,0.00027916638967850904,2.0926869030990503e-06,0.0,0.0,0.0002701032602846487,0.0,1.0,0.0,0.0,0.00028125849237376063,0.0,0.0,0.0,1.0
0.01639,0.9999999999999988,0.0,0.0005842252534708199,4.3874091990714385e-06,0.0,0.0,0.0005652518046341599,0.0,1.0,0.0,0.0,0.0005886100994346399,0.0,0.0,0.0,1.0
0.03333,0.9999999999999933,0.0,0.0009474870952289836,7.134854845197484e-06,0.0,0.0,0.0009166985264469265,0.0,1.0,0.0,0.0,0.0009546151898912892,0.0,0.0,0.0,1.0
0.04972,1.0000000000000007,0.0,0.0013696272450949023,1.0350309025355406e-05,0.0,0.0,0.0013250870746344982,0.0,1.0,0.0,0.0,0.0013799633780550212,0.0,0.0,0.0,1.0
0.06667,1.0000000000000038,0.0,0.001913752955529533,1.4531029605048497e-05,0.0,0.0,0.0018514545044635007,0.0,1.0,0.0,0.0,0.001928256176333728,0.0,0.0,0.0,1.0
0.08306,1.0000000000000029,0.0,0.0025859782017830274,1.9747600785071586e-05,0.0,0.0,0.002501697352857704,0.0,1.0,0.0,0.0,0.0026056747357029314,0.0,0.0,0.0,1.0
0.1,0.9999999999999989,0.0,0.0034827499898534885,2.6782446590094548e-05,0.0,0.0,0.003369088261593395,0.0,1.0,0.0,0.0,0.0035094391598779937,0.0,0.0,0.0,1.0
0.11639,0.999999999999998,0.0,0.0045981096511283,3.5631568374366884e-05,0.0,0.0,0.004447846265036927,0.0,1.0,0.0,0.0,0.00463357738164424,0.0,0.0,0.0,1.0
0.13333,0.9999999999999993,0.0,0.006048730033944133,4.727058469882674e-05,0.0,0.0,0.0058508099742061274,0.0,1.0,0.0,0.0,0.00609571469163757,0.0,0.0,0.0,1.0
0.15,1.0000000000000007,0.0,0.007796569536092998,6.14490464134056e-05,0.0,0.0,0.007541198667398288,0.0,1.0,0.0,0.0,0.007857539490743116,0.0,0.0,0.0,1.0
0.16639,1.0000000000000007,0.0,0.009831008364076231,7.812483657936099e-05,0.0,0.0,0.009508773890488488,0.0,1.0,0.0,0.0,0.009908365154733739,0.0,0.0,0.0,1.0
0.18333,1.0000000000000007,0.0,0.012236598209047633,9.803633434457998e-05,0.0,0.0,0.01183536353030489,0.0,1.0,0.0,0.0,0.01233343491215895,0.0,0.0,0.0,1.0
0.19972,0.9999999999999994,0.0,0.014815210373998954,0.00011957444150915068,0.0,0.0,0.014329408738459847,0.0,1.0,0.0,0.0,0.014933013295001794,0.0,0.0,0.0,1.0
0.21667,1.0000000000000002,0.0,0.01768857414660179,0.00014377784132061584,0.0,0.0,0.017108714340354454,0.0,1.0,0.0,0.0,0.017829808762915567,0.0,0.0,0.0,1.0
0.23306,1.0000000000000002,0.0,0.020612857523455146,0.0001686044134528614,0.0,0.0,0.0199374882501694,0.0,1.0,0.0,0.0,0.020777986518155676,0.0,0.0,0.0,1.0
0.25,1.0,0.0,0.023732737738552733,0.00019528667945973246,0.0,0.0,0.022955730458899266,0.0,1.0,0.0,0.0,0.023923389730465008,0.0,0.0,0.0,1.0
0.26639,0.9999999999999998,0.0,0.026799730845938535,0.00022169809770660763,0.0,0.0,0.025923083743626237,0.0,1.0,0.0,0.0,0.027015487494297545,0.0,0.0,0.0,1.0
0.28333,1.0,0.0,0.029978949052572396,0.00024925524330614285,0.0,0.0,0.02899931371600976,0.0,1.0,0.0,0.0,0.03022073188563838,0.0,0.0,0.0,1.0
0.3,1.0,0.0,0.0330833967824343,0.00027633094852347675,0.0,0.0,0.032003493738215975,0.0,1.0,0.0,0.0,0.0333505857645445,0.0,0.0,0.0,1.0
0.31639,1.0000000000000002,0.0,0.03608629350430545,0.0003026732851083893,0.0,0.0,0.03490968520720766,0.0,1.0,0.0,0.0,0.03637804443241151,0.0,0.0,0.0,1.0
0.33333,1.0,0.0,0.03911481997787908,0.0003293870560151974,0.0,0.0,0.03784096417473494,0.0,1.0,0.0,0.0,0.039431323118495204,0.0,0.0,0.0,1.0
0.34972,1.0,0.0,0.041951286263134165,0.00035453651046705976,0.0,0.0,0.0405866090678129,0.0,1.0,0.0,0.0,0.04229094951095989,0.0,0.0,0.0,1.0
0.36667,1.0,0.0,0.04476803424164578,0.00037963251365156033,0.0,0.0,0.04331341554778829,0.0,1.0,0.0,0.0,0.04513067135392694,0.0,0.0,0.0,1.0
0.38306,0.9999999999999999,0.0,0.04736340463559338,0.0004028606777742906,0.0,0.0,0.04582613287827748,0.0,1.0,0.0,0.0,0.04774718446007448,0.0,0.0,0.0,1.0
0.4,1.0,0.0,0.049899733864984905,0.00042565552327025725,0.0,0.0,0.048281892753313044,0.0,1.0,0.0,0.0,0.05030414929092581,0.0,0.0,0.0,1.0
0.41639,0.9999999999999998,0.0,0.05220501352496027,0.00044645358586124675,0.0,0.0,0.05051411702721446,0.0,1.0,0.0,0.0,0.05262815999533336,0.0,0.0,0.0,1.0
0.43333,0.9999999999999998,0.0,0.054426380522738474,0.0004665657381112561,0.0,0.0,0.05266524428776925,0.0,1.0,0.0,0.0,0.05486755277644842,0.0,0.0,0.0,1.0
0.45,1.0000000000000002,0.0,0.05645232834177683,0.00048496857257957756,0.0,0.0,0.05462726483877629,0.0,1.0,0.0,0.0,0.0569099193092617,0.0,0.0,0.0,1.0
0.46639,1.0,0.0,0.058287706748705065,0.000501689899597123,0.0,0.0,0.05640483791398187,0.0,1.0,0.0,0.0,0.05876015429455567,0.0,0.0,0.0,1.0
0.48333,1.0000000000000002,0.0,0.060026543582196876,0.0005175752808796484,0.0,0.0,0.05808900425009664,0.0,1.0,0.0,0.0,0.06051305060792173,0.0,0.0,0.0,1.0
