Time (hr),dose,SRAM_SEL,MCU_SEFI,MCU_SEL,LREG_SEGR,SRAM_TID,MCU_TID,LREG_TID,WDOG_TID
0.0,0.026004101703778336,0.016481985646132912,0.00012768084763705568,0.01703510456795385,9.077807644603535e-06,0.0,0.0,0.0,0.0
0.01639,0.028157232362837386,0.018015367597438818,0.00014000791525369053,0.018620537869046955,9.96514393705978e-06,0.0,0.0,0.0,0.0
0.03333,0.031964555471306715,0.020761944027979148,0.00016218780841889338,0.02146046430435362,1.1564624391539537e-05,0.0,0.0,0.0,0.0
0.04972,0.03765782030466965,0.024944894895763875,0.00019618561877840696,0.025785832637638215,1.4022942084188925e-05,0.0,0.0,0.0,0.0
0.06667,0.04584893494833797,0.03110352719660474,0.00024665325022468884,0.0321546005090336,1.768521817806216e-05,0.0,0.0,0.0,0.0
0.08306,0.05705328900790851,0.0397596864930463,0.00031828313544997176,0.04110683945018735,2.2906604846978892e-05,0.0,0.0,0.0,0.0
0.1,0.07161613392342568,0.05135446236948209,0.000415289815508503,0.053099248103405376,3.0016191384639492e-05,0.0,0.0,0.0,0.0
0.11639,0.08952615650376045,0.06607632358326031,0.0005399266593995148,0.06832730890469202,3.920862045220602e-05,0.0,0.0,0.0,0.0
0.13333,0.10975175662481224,0.08324826778669657,0.0006871014636568256,0.08609115888313078,5.0140914876471074e-05,0.0,0.0,0.0,0.0
0.15,0.13123899937296893,0.10208663802516699,0.0008505838329501856,0.10558032291446967,6.238104134481194e-05,0.0,0.0,0.0,0.0
0.16639,0.15222233748716815,0.12107953935048997,0.0010175078706500913,0.12523063510790025,7.498906746190577e-05,0.0,0.0,0.0,0.0
0.18333,0.171202392077034,0.13882456251131478,0.0011755166314491392,0.14359090820742246,8.70413909533376e-05,0.0,0.0,0.0,0.0
0.19972,0.18707052220473797,0.1541859137701705,0.0013142434949675328,0.1594856583561198,9.77428410538007e-05,0.0,0.0,0.0,0.0
0.21667,0.19936356582278364,0.16658957266296365,0.001428117241454392,0.17232064363733132,0.00010664744309780272,0.0,0.0,0.0,0.0
0.23306,0.20802893320996735,0.1758488380174398,0.0015149756210840301,0.18190244817938064,0.00011356182348000666,0.0,0.0,0.0,0.0
0.25,0.21330823078310898,0.18207759170186646,0.001575390886149916,0.188348760981564,0.00011850063397390691,0.0,0.0,0.0,0.0
0.26639,0.21560870600753515,0.18558222938814864,0.0016117709564616807,0.19197655498702287,0.00012162352500526936,0.0,0.0,0.0,0.0
0.28333,0.21535737915414757,0.18672343065547276,0.0016271331874001217,0.19315904402359685,0.00012314314473528486,0.0,0.0,0.0,0.0
