Run,Full,Minimal
0,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
1,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
2,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
3,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
4,"['MCU_SEL', 'MCU']",['MCU_SEL']
5,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
6,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
7,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
8,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
9,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
10,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
11,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
12,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
13,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
14,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
15,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
16,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
17,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
18,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
19,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
20,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
21,"['MCU_SEL', 'MCU']",['MCU_SEL']
22,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
23,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
24,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
25,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
26,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
27,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
28,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
29,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
30,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
31,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
32,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
33,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
34,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
35,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
36,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
37,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
38,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
39,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
40,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
41,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
42,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
43,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
44,"['MCU_SEL', 'MCU']",['MCU_SEL']
45,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
46,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
47,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
48,"['MCU_SEL', 'MCU']",['MCU_SEL']
49,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
50,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
51,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
52,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
53,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
54,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
55,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
56,"['MCU_SEL', 'MCU']",['MCU_SEL']
57,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
58,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
59,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
60,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
61,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
62,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
63,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
64,"['MCU_SEL', 'MCU']",['MCU_SEL']
65,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
66,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
67,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
68,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
69,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
70,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
71,"['MCU_SEL', 'MCU']",['MCU_SEL']
72,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
73,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
74,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
75,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
76,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
77,"['MCU_SEL', 'MCU']",['MCU_SEL']
78,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
79,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
80,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
81,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
82,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
83,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
84,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
85,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
86,"['MCU_SEL', 'MCU']",['MCU_SEL']
87,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
88,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
89,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
90,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
91,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
92,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
93,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
94,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
95,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
96,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
97,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
98,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
99,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
100,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
101,"['MCU_SEL', 'MCU']",['MCU_SEL']
102,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
103,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
104,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
105,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
106,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
107,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
108,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
109,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
110,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
111,"['MCU_SEL', 'MCU']",['MCU_SEL']
112,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
113,"['MCU_SEL', 'MCU']",['MCU_SEL']
114,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
115,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
116,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
117,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
118,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
119,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
120,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
121,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
122,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
123,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
124,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
125,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
126,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
127,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
128,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
129,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
130,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
131,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
132,"['MCU_SEL', 'MCU']",['MCU_SEL']
133,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
134,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
135,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
136,"['MCU_SEL', 'MCU']",['MCU_SEL']
137,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
138,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
139,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
140,"['MCU_SEL', 'MCU']",['MCU_SEL']
141,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
142,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
143,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
144,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
145,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
146,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
147,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
148,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
149,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
150,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
151,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
152,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
153,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
154,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
155,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
156,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
157,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
158,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
159,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
160,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
161,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
162,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
163,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
164,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
165,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
166,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
167,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
168,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
169,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
170,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
171,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
172,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
173,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
174,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
175,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
176,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
177,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
178,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
179,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
180,"['MCU_SEL', 'MCU']",['MCU_SEL']
181,"['MCU_SEL', 'MCU']",['MCU_SEL']
