Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
0,inf,112856205.0736388,inf,468.7499007299998,564.4969520344025,302.33308942801386,inf,112856205.0736388,468.7499007299998,302.33308942801386,302.33308942801386
1,inf,108327029.33722208,inf,1018.9792506643729,705.6716602730977,539.6399025072312,inf,108327029.33722208,705.6716602730977,539.6399025072312,539.6399025072312
2,inf,96970939.33950153,inf,726.5784664352452,556.4638738954842,586.6303744209588,inf,96970939.33950153,556.4638738954842,586.6303744209588,556.4638738954842
3,inf,88936288.07935809,inf,814.7408516065036,515.5114505987267,664.4790333751736,inf,88936288.07935809,515.5114505987267,664.4790333751736,515.5114505987267
4,inf,37614560.89732626,inf,386.0523318418759,570.4673434471958,631.8251479915031,inf,37614560.89732626,386.0523318418759,631.8251479915031,386.0523318418759
5,inf,53837086.34247066,inf,678.0435419808758,614.0261521738651,487.62966054073144,inf,53837086.34247066,614.0261521738651,487.62966054073144,487.62966054073144
6,inf,12415076.612657357,inf,671.800089892259,506.23534889583834,480.7148762003127,inf,12415076.612657357,506.23534889583834,480.7148762003127,480.7148762003127
7,inf,116923256.77800584,inf,658.3830525899168,567.7532128669524,641.310491411566,inf,116923256.77800584,567.7532128669524,641.310491411566,567.7532128669524
8,inf,119886278.79882428,inf,655.2319608815134,621.3835551222143,470.7800834205183,inf,119886278.79882428,621.3835551222143,470.7800834205183,470.7800834205183
9,inf,41410082.41053688,inf,522.1858448536923,627.6633053511403,364.46298345413214,inf,41410082.41053688,522.1858448536923,364.46298345413214,364.46298345413214
10,inf,60342014.32319719,inf,926.221627289209,493.619566205407,562.9131325583262,inf,60342014.32319719,493.619566205407,562.9131325583262,493.619566205407
11,inf,79653367.48073788,inf,1015.492364365066,713.4411273488912,684.4584862318744,inf,79653367.48073788,713.4411273488912,684.4584862318744,684.4584862318744
12,inf,104261128.64617832,inf,520.5795072754394,708.6895346510323,322.95390679659425,inf,104261128.64617832,520.5795072754394,322.95390679659425,322.95390679659425
13,inf,102510639.80060129,inf,724.1407241201169,294.95529556547405,316.5882740721606,inf,102510639.80060129,294.95529556547405,316.5882740721606,294.95529556547405
14,inf,16727468.797942309,inf,590.2909856315175,504.04421478845853,489.8195771817859,inf,16727468.797942309,504.04421478845853,489.8195771817859,489.8195771817859
15,inf,41748426.30693986,inf,939.9806194575384,572.4411301652062,531.4766856916871,inf,41748426.30693986,572.4411301652062,531.4766856916871,531.4766856916871
16,inf,37586718.56421678,inf,850.8995509008664,345.5015119516504,636.3377279434673,inf,37586718.56421678,345.5015119516504,636.3377279434673,345.5015119516504
17,inf,28881419.34989183,inf,941.7937296270122,834.2235047469388,568.8069487795988,inf,28881419.34989183,834.2235047469388,568.8069487795988,568.8069487795988
18,inf,79336702.93534613,inf,1126.5634846493772,565.4970117534626,771.1821351883008,inf,79336702.93534613,565.4970117534626,771.1821351883008,565.4970117534626
19,inf,59895288.341289215,inf,685.0425439142099,569.0255591920703,556.4290594571653,inf,59895288.341289215,569.0255591920703,556.4290594571653,556.4290594571653
20,inf,14683065.149066616,inf,615.2681637365852,769.3743185883083,488.8440080815961,inf,14683065.149066616,615.2681637365852,488.8440080815961,488.8440080815961
21,inf,25087573.43796648,inf,33.00955069411201,658.2818914321114,516.2066258881246,inf,25087573.43796648,33.00955069411201,516.2066258881246,33.00955069411201
22,inf,64631384.34607603,inf,603.0269146946108,716.3491496961965,512.4819794614956,inf,64631384.34607603,603.0269146946108,512.4819794614956,512.4819794614956
23,inf,125822602.240179,inf,680.4192965586394,691.5918534808864,643.7273576945418,inf,125822602.240179,680.4192965586394,643.7273576945418,643.7273576945418
24,inf,28202303.09515766,inf,852.8675899436467,499.7547821761576,258.000721455194,inf,28202303.09515766,499.7547821761576,258.000721455194,258.000721455194
