Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,-2.9885929148099066e-09,0.0,-0.0018336623111494827,-0.005184433765955891,-0.009680061622307284,0.0,-2.9885929148099066e-09,-0.007027764790092502,-0.009680061622307284,-0.016777019450168327
120.0,0.0,-4.605289927184231e-09,0.0,-0.002954526167863479,-0.008361770658036855,-0.01563282216817901,0.0,-4.605289927184231e-09,-0.011341691534388475,-0.01563282216817901,-0.027156770459616716
179.0,0.0,-6.536450138094896e-09,0.0,-0.004578838761418319,-0.012977107293615227,-0.02430622794275883,0.0,-6.536450138094896e-09,-0.017617995248386968,-0.02430622794275883,-0.0423714044332623
240.0,0.0,-8.777181884078722e-09,0.0,-0.006998408117515453,-0.01987745658005432,-0.0373368927035451,0.0,-8.777181884078722e-09,-0.027024716291785537,-0.0373368927035451,-0.06544129259542696
299.0,0.0,-1.1595706686517993e-08,0.0,-0.011125031606844762,-0.03172501858345697,-0.05991027800255884,0.0,-1.1595706686517993e-08,-0.0432448632648135,-0.05991027800255884,-0.10605332686831868
360.0,0.0,-1.4760389965839948e-08,0.0,-0.017769067682668338,-0.05105466704040634,-0.09739919347610754,0.0,-1.4760389965839948e-08,-0.06992414313556737,-0.09739919347610754,-0.1755844249663237
419.0,0.0,-1.7858972523043803e-08,0.0,-0.02812384816146396,-0.08208630013285426,-0.15999936731244382,0.0,-1.7858972523043803e-08,-0.11350542899464519,-0.15999936731244382,-0.29942762058368033
480.0,0.0,-1.8975867377424294e-08,0.0,-0.03922805488476533,-0.11805409271464357,-0.24008047880017877,0.0,-1.8975867377424294e-08,-0.16625053228854247,-0.24008047880017877,-0.48362691957312326
540.0,0.0,-1.5769946015709024e-08,0.0,-0.04267214276565856,-0.13651727456133955,-0.30285625000354993,0.0,-1.5769946015709024e-08,-0.19940402710944993,-0.30285625000354993,-0.7118181012271073
599.0,0.0,-8.707767285009993e-09,0.0,-0.030080428531124137,-0.10752665412116635,-0.2811135695297975,0.0,-8.707767285009993e-09,-0.1680467594662226,-0.2811135695297975,-0.8937423726850365
660.0,0.0,-2.682913002871601e-09,0.0,-0.011625290127987742,-0.05026093600235382,-0.17649505846270885,0.0,-2.682913002871601e-09,-0.0885456016261188,-0.17649505846270885,-0.9780828338149129
719.0,0.0,-3.5649561080930425e-10,0.0,-0.0019530963123681744,-0.011676458096693265,-0.06898783395873709,0.0,-3.5649561080930425e-10,-0.02539352448169263,-0.06898783395873709,-0.9980614327383209
780.0,0.0,-2.050570824252418e-11,0.0,-0.00014398048682107145,-0.00139706650908622,-0.01790043947701625,0.0,-2.050570824252418e-11,-0.0041737521595057725,-0.01790043947701625,-0.9999235955780839
839.0,0.0,-3.944622406493181e-13,0.0,-3.7453466547043845e-06,-7.457729429527493e-05,-0.0028689636978003197,0.0,-3.944622406493181e-13,-0.0003531329917569881,-0.0028689636978003197,-0.9999989835978925
900.0,0.0,-3.3306690738754696e-15,0.0,-4.4765776308075544e-08,-2.241042936113047e-06,-0.00032655078541155014,0.0,-3.3306690738754696e-15,-1.870471580267541e-05,-0.00032655078541155014,-0.9999999938898474
959.0,0.0,0.0,0.0,-1.9632928616175604e-10,-3.181576846422729e-08,-2.3455906375757785e-05,0.0,0.0,-5.322929392814757e-07,-2.3455906375757785e-05,-0.9999999999875142
1020.0,0.0,0.0,0.0,-4.96269692007445e-13,-3.016852323511898e-10,-1.3119152846297055e-06,0.0,0.0,-1.0835304209422247e-08,-1.3119152846297055e-06,-0.9999999999999858
1080.0,0.0,0.0,0.0,-4.440892098500626e-16,-1.4921397450962104e-12,-4.896557626032916e-08,0.0,0.0,-1.281755812598817e-10,-4.896557626032916e-08,-1.0
1139.0,0.0,0.0,0.0,0.0,-5.440092820663267e-15,-1.4889677268925539e-09,0.0,0.0,-1.1536327448880002e-12,-1.4889677268925539e-09,-1.0
1200.0,0.0,-3.3306690738754696e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-3.849143226375418e-11,0.0,-3.3306690738754696e-16,-8.43769498715119e-15,-3.849143226375418e-11,-1.0000000000000002
1259.0,0.0,0.0,0.0,0.0,0.0,-7.274181257344026e-13,0.0,0.0,0.0,-7.274181257344026e-13,-1.0
1320.0,0.0,0.0,0.0,0.0,0.0,-1.354472090042691e-14,0.0,0.0,0.0,-1.354472090042691e-14,-1.0
