Time (s),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit,Dose Rate (rad/s),Total Dose (rad)
0.0,26670.0,992.835,0.0,253.644737,16.909649,90.0,1.1655,0,0.0002858823863929351,0.0
59.0,26670.00069444,1002.085,-5.6311e-07,257.865168,17.207678,90.0,1.1723,0,0.0003577222061310842,0.016867060797183173
120.0,26670.00138889,1029.734,-2.225477e-06,262.063303,17.50422,90.0,1.1835,0,0.0005114612269262411,0.03797267095891714
179.0,26670.00208333,1075.48,-4.913372e-06,266.217584,17.797839,90.0,1.1987,0,0.0008121055915786386,0.06917180580141785
240.0,26670.00277778,1138.835,-8.514826e-06,270.307863,18.087191,90.0,1.2182,0,0.0014157213070584965,0.11708603570455753
299.0,26670.00347222,1219.145,-1.288974e-05,274.315971,18.371065,90.0,1.2418,0,0.0026279011124398254,0.20344503543512582
360.0,26670.00416667,1315.618,-1.788152e-05,278.226128,18.648409,90.0,1.2691,0,0.00500967045292202,0.3584912010690755
419.0,26670.00486111,1427.352,-2.332857e-05,282.025196,18.918346,90.0,1.2996,0,0.009469964590638234,0.6640810986973187
480.0,26670.00555556,1553.366,-2.907432e-05,285.702768,19.180185,90.0,1.332,0,0.017013550907027202,1.2228090095449744
540.0,26670.00625,1692.632,-3.497502e-05,289.251122,19.433408,90.0,1.3659,0,0.02864623945372481,2.2606356148736335
599.0,26670.00694444,1844.096,-4.090482e-05,292.665048,19.67767,90.0,1.4003,0,0.04452660332538174,3.9794099820971223
660.0,26670.00763889,2006.709,-4.675843e-05,295.941618,19.912775,90.0,1.4346,0,0.06386077781608365,6.606479578294644
719.0,26670.00833333,2179.439,-5.245166e-05,299.079885,20.138659,90.0,1.4683,0,0.084986928335615,10.501987025075747
780.0,26670.00902778,2361.292,-5.792042e-05,302.08058,20.355372,90.0,1.5013,0,0.10611927404805957,15.516215796877033
839.0,26670.00972222,2551.321,-6.311874e-05,304.945801,20.563053,90.0,1.5336,0,0.12572267881262336,21.989491513808666
900.0,26670.01041667,2748.633,-6.801621e-05,307.678726,20.761915,90.0,1.5653,0,0.14281197256236927,29.407129563753443
959.0,26670.01111111,2952.395,-7.25953e-05,310.283352,20.952223,90.0,1.5967,0,0.15705392903545767,38.11865989005797
1020.0,26670.01180556,3161.832,-7.684878e-05,312.764265,21.134284,90.0,1.6283,0,0.16863320558274292,47.384841703149974
1080.0,26670.0125,3376.235,-8.077732e-05,315.126452,21.30843,90.0,1.6598,0,0.17784739124672774,57.67146724369729
1139.0,26670.01319444,3594.951,-8.438752e-05,317.375134,21.475009,90.0,1.6916,0,0.18540021553042987,68.34231071850095
1200.0,26670.01388889,3817.387,-8.769011e-05,319.515646,21.634376,90.0,1.7238,0,0.1912843008994878,79.28092343479632
1259.0,26670.01458333,4043.004,-9.069868e-05,321.553327,21.786888,90.0,1.7564,0,0.19532799305195458,90.94926578966508
1320.0,26670.01527778,4271.314,-9.342854e-05,323.49345,21.932897,90.0,1.7896,0,0.19742471886019136,102.4736173797304
