Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
0,1336342.9653633656,4679780609.458196,774343.6644456516,557.163342848431,inf,759.760984263529,inf,514.7193732568556,1336342.9653633656,inf,inf,inf,inf,inf,774343.6644456516,774343.6644456516
1,1089044.9906653517,3216851883.1984954,622313.3602202256,1059.6047696550704,inf,657.3043071024769,inf,291.632482775429,1089044.9906653517,inf,inf,inf,inf,inf,622313.3602202256,622313.3602202256
2,1360676.582138306,3149924838.152855,700084.9297974523,698.0586210026892,inf,218.20127454353934,inf,785.0217031560695,1360676.582138306,inf,inf,inf,inf,inf,700084.9297974523,700084.9297974523
3,1303077.3902686338,5794400829.520516,775172.5139619125,526.7814123029655,inf,709.2105403085127,inf,677.3156921193075,1303077.3902686338,inf,inf,inf,inf,inf,775172.5139619125,775172.5139619125
4,933279.5711838598,2544009147.2005973,813270.0830479946,131.93164573497376,inf,784.0317307509443,inf,1048.3749244128953,933279.5711838598,inf,inf,inf,inf,inf,813270.0830479946,813270.0830479946
5,1367340.8978265196,7339823471.679217,852406.0046297865,1000.34729722236,inf,981.8648345015553,inf,900.9553778573236,1367340.8978265196,inf,inf,inf,inf,inf,852406.0046297865,852406.0046297865
6,1163413.932023493,2867562220.467746,735604.5637028967,880.2159734233672,inf,953.9216014339444,inf,346.32214862151983,1163413.932023493,inf,inf,inf,inf,inf,735604.5637028967,735604.5637028967
7,1291457.0910016187,4605886603.380185,816489.5057822375,845.7464828588559,inf,758.7720422668227,inf,424.7677095027287,1291457.0910016187,inf,inf,inf,inf,inf,816489.5057822375,816489.5057822375
8,1010592.9205207517,1479564384.4679925,622329.0736465089,722.2316894146384,inf,108.83083435443652,inf,224.25875659867813,1010592.9205207517,inf,inf,inf,inf,inf,622329.0736465089,622329.0736465089
9,933375.3194744082,391646773.597199,778121.7766742391,749.7210536161222,inf,733.2400647684698,inf,58.05932138138992,933375.3194744082,inf,inf,inf,inf,inf,778121.7766742391,778121.7766742391
10,1087992.7297392397,6662609126.224516,778227.870726799,654.0831865353742,inf,323.61474920250305,inf,1.2234757175404456,1087992.7297392397,inf,inf,inf,inf,inf,778227.870726799,778227.870726799
11,1380208.6766953545,3809326352.016727,659025.7571905503,751.6513094833086,inf,256.7849238092768,inf,202.83016803323466,1380208.6766953545,inf,inf,inf,inf,inf,659025.7571905503,659025.7571905503
12,1371536.5735637655,703904926.2277493,739787.6164959285,753.1547425029416,inf,115.41348793040122,inf,315.4435394367331,1371536.5735637655,inf,inf,inf,inf,inf,739787.6164959285,739787.6164959285
13,1307863.8185462423,8038516474.947692,697269.9938924866,946.6790684145383,inf,621.8382121386267,inf,1054.2816934870239,1307863.8185462423,inf,inf,inf,inf,inf,697269.9938924866,697269.9938924866
14,1087898.0469571685,1214204285.652211,855365.582716943,686.8652079754042,inf,59.45820747265714,inf,197.6595994768895,1087898.0469571685,inf,inf,inf,inf,inf,855365.582716943,855365.582716943
15,851329.8922210213,3075950882.751994,735662.5890732196,647.7791669974973,inf,588.5375686798341,inf,558.8787140153829,851329.8922210213,inf,inf,inf,inf,inf,735662.5890732196,735662.5890732196
16,1006016.1876520425,852794203.6635832,741407.2600961243,539.6103553108261,inf,586.3844780935252,inf,809.175624336386,1006016.1876520425,inf,inf,inf,inf,inf,741407.2600961243,741407.2600961243
17,1046342.1461732371,7380798215.042908,657813.4772558148,1075.6604376540222,inf,92.74874416973019,inf,873.9915303255655,1046342.1461732371,inf,inf,inf,inf,inf,657813.4772558148,657813.4772558148
18,1163457.4619917676,586775674.5045494,739023.3921618102,979.8598320414694,inf,737.4718931340024,inf,627.6668145252249,1163457.4619917676,inf,inf,inf,inf,inf,739023.3921618102,739023.3921618102
19,968246.8498524469,3355327567.3766737,778143.6646377062,822.9284129174483,inf,927.9846397164083,inf,388.4466340305439,968246.8498524469,inf,inf,inf,inf,inf,778143.6646377062,778143.6646377062
20,968090.563941528,7228007821.88193,701345.3900586052,653.1805989911647,inf,312.1365004826573,inf,11.843117428290833,968090.563941528,inf,inf,inf,inf,inf,701345.3900586052,701345.3900586052
21,894014.5182624013,4803400506.064813,775617.3521521015,1032.437307523518,inf,744.6839223506915,inf,358.73450748948983,894014.5182624013,inf,inf,inf,inf,inf,775617.3521521015,775617.3521521015
22,1050723.9981886623,3127372143.3397946,696192.3091203481,901.2044973150367,inf,480.0469515632569,inf,545.7029974251232,1050723.9981886623,inf,inf,inf,inf,inf,696192.3091203481,696192.3091203481
23,971930.9256113083,3497469318.9693522,622834.6791126403,794.8055852546577,inf,409.0535187913223,inf,454.73616424886575,971930.9256113083,inf,inf,inf,inf,inf,622834.6791126403,622834.6791126403
24,1160606.1815925057,3956985081.969022,735670.1322714249,730.7290951601274,inf,147.4808771740478,inf,948.419802750117,1160606.1815925057,inf,inf,inf,inf,inf,735670.1322714249,735670.1322714249
25,893969.0513319267,5586856007.444793,735815.5856890582,899.823869139597,inf,744.4789096232065,inf,923.9645801045061,893969.0513319267,inf,inf,inf,inf,inf,735815.5856890582,735815.5856890582
26,1126517.9293311667,7901776698.162074,775220.5418946961,850.5388540573236,inf,879.372315068606,inf,89.28852965960596,1126517.9293311667,inf,inf,inf,inf,inf,775220.5418946961,775220.5418946961
27,1122972.654548121,574210809.9472405,700701.9990895384,604.7219753314673,inf,344.45159588391425,inf,619.2564005664693,1122972.654548121,inf,inf,inf,inf,inf,700701.9990895384,700701.9990895384
28,1178007.2711043768,5659341061.129437,736679.8681120928,705.5176929547138,inf,971.0828173977691,inf,350.7376492539053,1178007.2711043768,inf,inf,inf,inf,inf,736679.8681120928,736679.8681120928
29,1046663.7577117715,7787708360.756663,775058.7127548925,756.4744966658533,inf,689.4779536854783,inf,393.98492265698394,1046663.7577117715,inf,inf,inf,inf,inf,775058.7127548925,775058.7127548925
30,1050145.3191310817,2403300936.359697,812761.248705224,915.5863654998095,inf,930.0820225411619,inf,861.482340362609,1050145.3191310817,inf,inf,inf,inf,inf,812761.248705224,812761.248705224
31,1011816.2052474171,6252030113.5083065,775296.1864554901,659.1756707516072,inf,974.4068961689425,inf,71.15301720549003,1011816.2052474171,inf,inf,inf,inf,inf,775296.1864554901,775296.1864554901
32,1084787.1944176278,4915978062.0723295,696647.7431125001,708.922131939652,inf,739.1543599798416,inf,779.9370311444982,1084787.1944176278,inf,inf,inf,inf,inf,696647.7431125001,696647.7431125001
33,1045861.3554303225,5148121211.608073,697518.1418371137,968.2051031085844,inf,949.7997605506177,inf,117.28879223035617,1045861.3554303225,inf,inf,inf,inf,inf,697518.1418371137,697518.1418371137
34,1088614.9872828908,4540160986.506546,661204.8940770752,1047.0638121232128,inf,684.5253135432717,inf,41.11594364295572,1088614.9872828908,inf,inf,inf,inf,inf,661204.8940770752,661204.8940770752
35,1011858.5929084795,1727126606.0567455,697365.017917513,1029.9988891841044,inf,681.9522643238671,inf,475.6601814632885,1011858.5929084795,inf,inf,inf,inf,inf,697365.017917513,697365.017917513
36,1007194.1110259076,2192113849.5708485,583484.4982388627,934.022575711391,inf,599.0214085212924,inf,1065.7441893337168,1007194.1110259076,inf,inf,inf,inf,inf,583484.4982388627,583484.4982388627
37,1127235.4599420053,1423331262.8437312,816058.2156151801,1409.8427446680125,inf,395.19930323160435,inf,957.0499515515748,1127235.4599420053,inf,inf,inf,inf,inf,816058.2156151801,816058.2156151801
38,1011411.16188667,6347648082.348052,657974.0963367642,788.6062187327036,inf,667.5565530351053,inf,160.66305768060374,1011411.16188667,inf,inf,inf,inf,inf,657974.0963367642,657974.0963367642
39,1238247.9630466055,2623503091.04857,661673.5065909731,526.5018883592116,inf,699.4791128090161,inf,1041.3427021657455,1238247.9630466055,inf,inf,inf,inf,inf,661673.5065909731,661673.5065909731
40,1049991.6095678143,5606232642.85648,699447.4830854927,920.136541213243,inf,289.6222739068215,inf,900.791343811215,1049991.6095678143,inf,inf,inf,inf,inf,699447.4830854927,699447.4830854927
41,1045780.8906298749,5632901594.088462,775471.7467000803,567.6689327427656,inf,410.0870844404901,inf,695.4979474227036,1045780.8906298749,inf,inf,inf,inf,inf,775471.7467000803,775471.7467000803
42,1085454.4789312256,5828497391.43713,817674.7701306683,581.2976450012395,inf,109.76877843075987,inf,828.3616309607592,1085454.4789312256,inf,inf,inf,inf,inf,817674.7701306683,817674.7701306683
43,1219864.212075849,6798447854.662973,696526.022119024,885.0093540101201,inf,448.51377082757244,inf,408.0404882847045,1219864.212075849,inf,inf,inf,inf,inf,696526.022119024,696526.022119024
44,1126860.7155378682,1355298544.0152712,657912.109690259,928.0987524433572,inf,940.142679907504,inf,927.7213800719935,1126860.7155378682,inf,inf,inf,inf,inf,657912.109690259,657912.109690259
