Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
0.0,0.0,5.4722192005433075e-08,0.0,0.1289757337320792,0.0,0.3214446439572002,0.0,0.5124140474358853,5.472219200543e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.472219200543e-08
540.0,0.0,6.502183629611392e-07,0.0,0.4941794598887736,0.0,0.4999978968601274,0.0,0.4999999999359121,6.5021836296114e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.5021836296114e-07
1080.0,0.0,2.769179573786472e-06,0.0,0.4355116979296876,0.0,0.3392776780213999,0.0,0.24379297628205737,2.76917957378647e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.76917957378647e-06
1620.0,0.0,3.6827470347504916e-06,0.0,0.005820539790597101,0.0,2.1031398725890327e-06,0.0,6.408790165224332e-11,3.68274703475049e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.68274703475049e-06
2160.0,0.0,2.1282398917348377e-06,0.0,4.3518850528778685e-07,0.0,0.0,0.0,0.0,2.12823989173484e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.12823989173484e-06
2700.0,0.0,7.843062197104193e-07,0.0,3.1397690003487355e-10,0.0,0.0,0.0,0.0,7.8430621971042e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.8430621971042e-07
3240.0,0.0,2.4987909212516087e-07,0.0,1.0270895245412248e-11,0.0,0.0,0.0,0.0,2.4987909212516e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.4987909212516e-07
3780.0,0.0,7.860052066333157e-08,0.0,1.352973288959447e-12,0.0,0.0,0.0,-2.220446049250313e-16,7.860052066333e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.860052066333e-08
4320.0,0.0,3.405317775290059e-08,0.0,2.324251902052765e-13,0.0,0.0,0.0,-2.220446049250313e-16,3.40531777529e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.40531777529e-08
4860.0,0.0,2.5314290840683116e-08,0.0,4.2021941482062175e-14,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,2.531429084068e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.531429084068e-08
5400.0,0.0,2.7977324363559985e-08,0.0,8.382183835919932e-15,0.0,-1.1102230246251565e-16,0.0,0.0,2.797732436356e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.797732436356e-08
5940.0,0.0,1.0750868038968806e-07,0.0,2.7200464103316335e-15,0.0,0.0,0.0,-2.220446049250313e-16,1.0750868038969e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0750868038969e-07
7920.0,0.0,2.3849128021370816e-07,0.0,1.609823385706477e-15,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,2.3849128021371e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.3849128021371e-07
