Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,0.0,-5.472219200543e-08,0.0,0.0,0.0,0.0,0.0,0.0,-5.472219200543e-08,0.0,0.0,0.0,0.0,0.0,0.0,-5.472219200543e-08
1080.0,0.0,-1.30043672592228e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.30043672592228e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.30043672592228e-06
1620.0,0.0,-5.59308133957838e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.59308133957838e-06,0.0,0.0,0.0,0.0,0.0,0.0,-5.59308133957838e-06
2160.0,0.0,-8.66593079542326e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.66593079542326e-06,0.0,0.0,0.0,0.0,0.0,0.0,-8.66593079542326e-06
2700.0,0.0,-9.84956112304805e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.84956112304805e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.84956112304805e-06
3240.0,0.0,-1.02345432348441e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.02345432348441e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.02345432348441e-05
3780.0,0.0,-1.034931930729837e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.034931930729837e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.034931930729837e-05
4320.0,0.0,-1.039174427617076e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.039174427617076e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.039174427617076e-05
4860.0,0.0,-1.041742566280418e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.041742566280418e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.041742566280418e-05
5400.0,0.0,-1.044237285785213e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.044237285785213e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.044237285785213e-05
5940.0,0.0,-1.04733803115313e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.04733803115313e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.04733803115313e-05
7920.0,0.0,-1.065739021863151e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.065739021863151e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.065739021863151e-05
10080.0,0.0,-1.095036287195871e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.095036287195871e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.095036287195871e-05
12240.0,0.0,-1.122676913243397e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.122676913243397e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.122676913243397e-05
14400.0,0.0,-1.147690108763568e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.147690108763568e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.147690108763568e-05
16560.0,0.0,-1.171650899331622e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.171650899331622e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.171650899331622e-05
18720.0,0.0,-1.195602974762525e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.195602974762525e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.195602974762525e-05
20880.0,0.0,-1.219680519369704e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.219680519369704e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.219680519369704e-05
23040.0,0.0,-1.243627222462294e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.243627222462294e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.243627222462294e-05
25200.0,0.0,-1.267610462504421e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.267610462504421e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.267610462504421e-05
27360.0,0.0,-1.292796314680079e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.292796314680079e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.292796314680079e-05
29520.0,0.0,-1.320837404046896e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.320837404046896e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.320837404046896e-05
31680.0,0.0,-1.349572217332744e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.349572217332744e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.349572217332744e-05
33119.0,0.0,-1.363848001699818e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.363848001699818e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.363848001699818e-05
33659.0,0.0,-1.366637311442184e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.366637311442184e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.366637311442184e-05
34199.0,0.0,-1.369062320674737e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.369062320674737e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.369062320674737e-05
34739.0,0.0,-1.372224819050661e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.372224819050661e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.372224819050661e-05
35279.0,0.0,-1.379742727407313e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.379742727407313e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.379742727407313e-05
35819.0,0.0,-1.405926979652498e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.405926979652498e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.405926979652498e-05
36359.0,0.0,-1.496138375009627e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.496138375009627e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.496138375009627e-05
36899.0,0.0,-1.756681794020675e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.756681794020675e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.756681794020675e-05
37439.0,0.0,-2.188525338399435e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.188525338399435e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.188525338399435e-05
37979.0,0.0,-2.306136118216954e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.306136118216954e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.306136118216954e-05
38519.0,0.0,-2.310543053386916e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.310543053386916e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.310543053386916e-05
39058.0,0.0,-2.311687164352558e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.311687164352558e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.311687164352558e-05
39598.0,0.0,-2.337585868924222e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.337585868924222e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.337585868924222e-05
40138.0,0.0,-2.610320807847984e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.610320807847984e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.610320807847984e-05
40678.0,0.0,-3.03849084621982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.03849084621982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.03849084621982e-05
41218.0,0.0,-3.245004223402518e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.245004223402518e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.245004223402518e-05
41758.0,0.0,-3.318429985349428e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.318429985349428e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.318429985349428e-05
42298.0,0.0,-3.34088611290918e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.34088611290918e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.34088611290918e-05
42838.0,0.0,-3.347938211241183e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.347938211241183e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.347938211241183e-05
