Time (s),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit,Dose Rate (rad/s),Total Dose (rad)
0.0,26670.0,992.835,0.0,253.644737,16.909649,90.0,1.1655,0,0.026004101703778336,0.0
59.0,26670.00069444,1002.085,-5.6311e-07,257.865168,17.207678,90.0,1.1723,0,0.028157232362837386,0.0015342420005229219
120.0,26670.00138889,1029.734,-2.225477e-06,262.063303,17.50422,90.0,1.1835,0,0.031964555471306715,0.0031955187099303277
179.0,26670.00208333,1075.48,-4.913372e-06,266.217584,17.797839,90.0,1.1987,0,0.03765782030466965,0.005145356593680037
240.0,26670.00277778,1138.835,-8.514826e-06,270.307863,18.087191,90.0,1.2182,0,0.04584893494833797,0.007367167991655548
299.0,26670.00347222,1219.145,-1.288974e-05,274.315971,18.371065,90.0,1.2418,0,0.05705328900790851,0.010163953023504164
360.0,26670.00416667,1315.618,-1.788152e-05,278.226128,18.648409,90.0,1.2691,0,0.07161613392342568,0.013530097074970765
419.0,26670.00486111,1427.352,-2.332857e-05,282.025196,18.918346,90.0,1.2996,0,0.08952615650376045,0.01789868124429973
480.0,26670.00555556,1553.366,-2.907432e-05,285.702768,19.180185,90.0,1.332,0,0.10975175662481224,0.023180724478021594
540.0,26670.00625,1692.632,-3.497502e-05,289.251122,19.433408,90.0,1.3659,0,0.13123899937296893,0.02987558163213514
599.0,26670.00694444,1844.096,-4.090482e-05,292.665048,19.67767,90.0,1.4003,0,0.15222233748716815,0.03774992159451328
660.0,26670.00763889,2006.709,-4.675843e-05,295.941618,19.912775,90.0,1.4346,0,0.171202392077034,0.04673103950625619
719.0,26670.00833333,2179.439,-5.245166e-05,299.079885,20.138659,90.0,1.4683,0,0.18707052220473797,0.05717438542295527
780.0,26670.00902778,2361.292,-5.792042e-05,302.08058,20.355372,90.0,1.5013,0,0.19936356582278364,0.06821154623303481
839.0,26670.00972222,2551.321,-6.311874e-05,304.945801,20.563053,90.0,1.5336,0,0.20802893320996735,0.08037272374822461
900.0,26670.01041667,2748.633,-6.801621e-05,307.678726,20.761915,90.0,1.5653,0,0.21330823078310898,0.09264643080761269
959.0,26670.01111111,2952.395,-7.25953e-05,310.283352,20.952223,90.0,1.5967,0,0.21560870600753515,0.10565823288538233
1020.0,26670.01180556,3161.832,-7.684878e-05,312.764265,21.134284,90.0,1.6283,0,0.21535737915414757,0.11837914653982691
1080.0,26670.0125,3376.235,-8.077732e-05,315.126452,21.30843,90.0,1.6598,0,0.21302038129932457,0.1315159466682299
1139.0,26670.01319444,3594.951,-8.438752e-05,317.375134,21.475009,90.0,1.6916,0,0.2090182969289817,0.14429716954618937
1200.0,26670.01388889,3817.387,-8.769011e-05,319.515646,21.634376,90.0,1.7238,0,0.2035199699140086,0.15662924906499928
1259.0,26670.01458333,4043.004,-9.069868e-05,321.553327,21.786888,90.0,1.7564,0,0.19666701878079668,0.16904396722975382
1320.0,26670.01527778,4271.314,-9.342854e-05,323.49345,21.932897,90.0,1.7896,0,0.18857835285429886,0.18064732133782083
1379.0,26670.01597222,4501.875,-9.589589e-05,325.34116,22.072744,90.0,1.8232,0,0.1794882578652372,0.19215060086193303
1440.0,26670.01666667,4734.292,-9.811724e-05,327.101432,22.206762,90.0,1.8574,0,0.16954669762424285,0.20274040807598204
1499.0,26670.01736111,4968.206,-0.000100109,328.779044,22.33527,90.0,1.8916,0,0.15914771020005908,0.21308275663106085
1560.0,26670.01805556,5203.298,-0.0001018869,330.378558,22.458571,90.0,1.9266,0,0.1482620455343379,0.2224724715328643
1620.0,26670.01875,5439.281,-0.0001034663,331.904311,22.576954,90.0,1.9617,0,0.13730836123946205,0.23151645631045892
1679.0,26670.01944444,5675.895,-0.0001048615,333.360411,22.690694,90.0,1.9971,0,0.12640960410759947,0.23975495798482663
1740.0,26670.02013889,5912.912,-0.000106086,334.750735,22.800049,90.0,2.0327,0,0.11575688111479654,0.247213124627175
1799.0,26670.02083333,6150.126,-0.0001071526,336.078938,22.905263,90.0,2.0684,0,0.10551047259970661,0.25427429437517757
1860.0,26670.02152778,6387.351,-0.0001080727,337.348457,23.006564,90.0,2.1043,0,0.09574372582404665,0.26049941225856027
1919.0,26670.02222222,6624.425,-0.0001088574,338.562521,23.104168,90.0,2.1403,0,0.08655763233918512,0.2663397795338271
1980.0,26670.02291667,6861.199,-0.0001095165,339.724158,23.198277,90.0,2.1763,0,0.07800602850919984,0.271446679841839
2039.0,26670.02361111,7097.545,-0.0001100592,340.836207,23.28908,90.0,2.2126,0,0.0700236018282412,0.2762050475809002
2100.0,26670.02430556,7333.344,-0.0001104939,341.90133,23.376755,90.0,2.2486,0,0.06273150662710397,0.28033644008876646
2160.0,26670.025,7568.494,-0.0001108283,342.92202,23.461468,90.0,2.2845,0,0.05606136989663355,0.28416306199301977
2219.0,26670.02569444,7802.903,-0.0001110695,343.900612,23.543374,90.0,2.3203,0,0.04998548096174385,0.2875267441868178
2280.0,26670.02638889,8036.489,-0.0001112239,344.839292,23.622619,90.0,2.3561,0,0.044457713131622174,0.2904758875635607
2339.0,26670.02708333,8269.178,-0.0001112975,345.74011,23.699341,90.0,2.3923,0,0.03939517515148781,0.2931878080645896
2400.0,26670.02777778,8500.908,-0.0001112956,346.604986,23.773666,90.0,2.4279,0,0.034901636528153625,0.29551212339852734
2459.0,26670.02847222,8731.621,-0.0001112231,347.435719,23.845715,90.0,2.4635,0,0.030856583768716524,0.29764112322674474
2520.0,26670.02916667,8961.267,-0.0001110847,348.233997,23.9156,90.0,2.499,0,0.02723687697389414,0.29946166166909904
2579.0,26670.02986111,9189.801,-0.0001108844,349.001402,23.983427,90.0,2.5342,0,0.024024081122107764,0.30112311116450663
2640.0,26670.03055556,9417.186,-0.0001106261,349.739421,0.049295,90.0,2.5694,0,0.02115506170588852,0.30254053195071096
2700.0,26670.03125,9643.388,-0.0001103132,350.449449,0.113297,90.0,2.6045,0,0.018606816515622904,0.30383099071477015
2759.0,26670.03194444,9868.376,-0.0001099488,351.132796,0.17552,90.0,2.6392,0,0.016366724722457624,0.30494739970570756
2820.0,26670.03263889,10092.13,-0.0001095359,351.790696,0.236046,90.0,2.674,0,0.014372729633668225,0.30591303646433254
2879.0,26670.03333333,10314.61,-0.0001090772,352.424306,0.294954,90.0,2.7084,0,0.012626178637306069,0.30678977297198634
2940.0,26670.03402778,10535.82,-0.0001085751,353.034719,0.352315,90.0,2.7427,0,0.011084102498440615,0.3075347175115874
2999.0,26670.03472222,10755.74,-0.0001080319,353.622963,0.408198,90.0,2.7767,0,0.009728712447455014,0.3082108477639923
3060.0,26670.03541667,10974.34,-0.0001074497,354.190006,0.462667,90.0,2.8106,0,0.00852845727479109,0.30878484179839216
3119.0,26670.03611111,11191.63,-0.0001068303,354.736762,0.515784,90.0,2.8442,0,0.007470608892155375,0.30930507769215443
3180.0,26670.03680556,11407.58,-0.0001061755,355.264094,0.567606,90.0,2.878,0,0.006524087112983674,0.3097458436167916
3240.0,26670.0375,11622.2,-0.000105487,355.772815,0.618188,90.0,2.9114,0,0.005692165681358423,0.3101438129306836
3299.0,26670.03819444,11835.48,-0.0001047662,356.263696,0.66758,90.0,2.9445,0,0.004958524627150134,0.31048534287156515
3360.0,26670.03888889,12047.4,-0.0001040146,356.737464,0.715831,90.0,2.9775,0,0.004307970791967533,0.310777895824567
3419.0,26670.03958333,12257.99,-0.0001032333,357.194807,0.762987,90.0,3.0103,0,0.003733465009966424,0.311040682042877
3480.0,26670.04027778,12467.22,-0.0001024236,357.636378,0.809092,90.0,3.0428,0,0.00322824466576825,0.311260956478465
3539.0,26670.04097222,12675.09,-0.0001015866,358.062794,0.854186,90.0,3.0752,0,0.0027819618333350857,0.31145787940307684
3600.0,26670.04166667,12881.62,-0.0001007232,358.474642,0.898309,90.0,3.1074,0,0.0023898253896904105,0.3116220151512436
3659.0,26670.04236111,13086.8,-9.983442e-05,358.872476,0.941498,90.0,3.1393,0,0.002047093376033788,0.3117677945000147
3720.0,26670.04305556,13290.64,-9.892112e-05,359.256824,0.983788,90.0,3.1711,0,0.001746469850316281,0.3118885730092007
3780.0,26670.04375,13493.13,-9.79841e-05,359.628187,1.025212,90.0,3.2026,0,0.0014852239127564049,0.31199510767006994
3839.0,26670.04444444,13694.28,-9.70241e-05,359.987042,1.065803,90.0,3.2341,0,0.0012568254556539627,0.31208422110483536
3900.0,26670.04513889,13894.09,-9.604182e-05,0.33384,1.105589,90.0,3.2651,0,0.0010609663423171536,0.31215837380671896
3959.0,26670.04583333,14092.58,-9.503791e-05,0.669014,1.144601,90.0,3.296,0,0.0008914109216519053,0.3122230927536003
4020.0,26670.04652778,14289.74,-9.401296e-05,0.992972,1.182865,90.0,3.3268,0,0.0007452796618543958,0.3122756859979777
4079.0,26670.04722222,14485.58,-9.296753e-05,1.306106,1.220407,90.0,3.3574,0,0.0006203081171243893,0.31232114805735084
4140.0,26670.04791667,14680.1,-9.190215e-05,1.608789,1.257253,90.0,3.3877,0,0.0005142334566273601,0.3123577462362612
4199.0,26670.04861111,14873.31,-9.081731e-05,1.901376,1.293425,90.0,3.418,0,0.00042374750181538957,0.3123891144771155
4260.0,26670.04930556,15065.23,-8.971346e-05,2.184205,1.328947,90.0,3.448,0,0.00034771166098139224,0.3124141155797226
4320.0,26670.05,15255.85,-8.859102e-05,2.457601,1.36384,90.0,3.4777,0,0.00028411263628237303,0.31243532599104246
4379.0,26670.05069444,15445.18,-8.745039e-05,2.721872,1.398125,90.0,3.5073,0,0.00023092386061448241,0.31245237274921944
4440.0,26670.05138889,15633.23,-8.629194e-05,2.977315,1.431821,90.0,3.5367,0,0.00018694318036278326,0.31246599725699564
4499.0,26670.05208333,15820.0,-8.511602e-05,3.224211,1.464947,90.0,3.5658,0,0.00015093670987469096,0.3124774007909978
4560.0,26670.05277778,16005.51,-8.392296e-05,3.462832,1.497522,90.0,3.5948,0,0.00012143269005690165,0.3124863060568804
4619.0,26670.05347222,16189.76,-8.271305e-05,3.693436,1.529562,90.0,3.6236,0,9.747407969499935e-05,0.3124937134509739
4680.0,26670.05416667,16372.76,-8.148658e-05,3.916271,1.561085,90.0,3.6522,0,7.810669770179123e-05,0.3124994644216759
4739.0,26670.05486111,16554.52,-8.024383e-05,4.131574,1.592105,90.0,3.6806,0,6.251112436911962e-05,0.31250422893023566
4800.0,26670.05555556,16735.04,-7.898504e-05,4.339574,1.622638,90.0,3.7089,0,4.995356574781524e-05,0.31250791708657344
4860.0,26670.05625,16914.33,-7.771046e-05,4.540488,1.652699,90.0,3.7369,0,3.9940395734220675e-05,0.31251096425408403
4919.0,26670.05694444,17092.4,-7.642029e-05,4.734526,1.682302,90.0,3.7648,0,3.1915526520772526e-05,0.31251336067782814
4980.0,26670.05763889,17269.26,-7.511476e-05,4.921889,1.711459,90.0,3.7924,0,2.5540295110179897e-05,0.31251524369389283
5039.0,26670.05833333,17444.92,-7.379406e-05,5.102771,1.740185,90.0,3.8199,0,2.044410034073675e-05,0.3125168016518946
5100.0,26670.05902778,17619.37,-7.245837e-05,5.277356,1.76849,90.0,3.8473,0,1.6375884205770933e-05,0.3125180078538147
5159.0,26670.05972222,17792.64,-7.110787e-05,5.445823,1.796388,90.0,3.8744,0,1.3152567498519975e-05,0.31251900678275124
5220.0,26670.06041667,17964.73,-6.974272e-05,5.608343,1.82389,90.0,3.9013,0,1.0587578855856867e-05,0.31251978278423365
5279.0,26670.06111111,18135.64,-6.836309e-05,5.765082,1.851005,90.0,3.9281,0,8.538296286047705e-06,0.3125204286265439
5340.0,26670.06180556,18305.39,-6.696911e-05,5.916198,1.877747,90.0,3.9547,0,6.906139713552213e-06,0.31252093238602474
5400.0,26670.0625,18473.98,-6.556092e-05,6.061844,1.904123,90.0,3.9811,0,5.6044404127690734e-06,0.3125213536605473
5459.0,26670.06319444,18641.42,-6.413866e-05,6.202167,1.930144,90.0,4.0073,0,4.564551703255446e-06,0.31252168992697205
5520.0,26670.06388889,18807.71,-6.270246e-05,6.337309,1.955821,90.0,4.0334,0,3.7293078623345966e-06,0.31252195923552256
5579.0,26670.06458333,18972.87,-6.125242e-05,6.467407,1.98116,90.0,4.0593,0,3.0597706192629226e-06,0.3125221867233022
5640.0,26670.06527778,19136.91,-5.978866e-05,6.592591,2.006173,90.0,4.085,0,2.5217250049118005e-06,0.31252236724976873
5699.0,26670.06597222,19299.82,-5.831128e-05,6.71299,2.030866,90.0,4.1106,0,2.086640584661946e-06,0.312522521074994
5760.0,26670.06666667,19461.62,-5.682039e-05,6.828726,2.055248,90.0,4.136,0,1.7352993781414039e-06,0.3125226441867885
5819.0,26670.06736111,19622.31,-5.531607e-05,6.939916,2.079328,90.0,4.1611,0,1.4517217600410476e-06,0.3125227500400506
5880.0,26670.06805556,19781.91,-5.379843e-05,7.046677,2.103112,90.0,4.1861,0,1.2202551951000106e-06,0.3125228356916344
5940.0,26670.06875,19940.41,-5.226754e-05,7.149117,2.126608,90.0,4.2108,0,1.032206552179556e-06,0.31252291012720135
5999.0,26670.06944444,20097.83,-5.072349e-05,7.247343,2.149823,90.0,4.2361,0,8.736743388056962e-07,0.31252297205959445
6239.0,26670.07222222,20716.81,-4.441712e-05,7.600123,2.240008,90.0,4.3333,0,4.838599988418335e-07,0.31252302360638046
6480.0,26670.075,21318.99,-3.790568e-05,7.893144,2.32621,90.0,4.428,0,2.972839434646164e-07,0.3125231397327802
6720.0,26670.07777778,21904.8,-3.119282e-05,8.131744,2.408783,90.0,4.5202,0,2.0348229043172302e-07,0.31252321137821054
6960.0,26670.08055556,22474.64,-2.428159e-05,8.320628,2.488042,90.0,4.61,0,1.5337830784852363e-07,0.3125232602139602
7199.0,26670.08333333,23028.88,-1.717456e-05,8.463968,2.564265,90.0,4.6973,0,1.257182816157742e-07,0.31252329702475407
7439.0,26670.08611111,23567.91,-9.873943e-06,8.565469,2.637698,90.0,4.7823,0,1.1070425624156311e-07,0.31252332707142333
7680.0,26670.08888889,24092.05,-2.381634e-06,8.628445,2.708563,90.0,4.8651,0,1.0364140070180273e-07,0.3125233536404448
7920.0,26670.09166667,24601.65,5.300708e-06,8.655862,2.777057,90.0,4.9456,0,1.022087233767505e-07,0.31252337861802243
