Run,Full,Minimal
0,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
1,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
2,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
3,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
4,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
5,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
6,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
7,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
8,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
9,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
10,"['LDO_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_TID']
11,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
12,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
13,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
14,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
15,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
16,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
17,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
18,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
19,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
20,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
21,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
22,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
23,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
24,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
25,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
26,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
27,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
28,"['LDO_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_TID']
29,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
30,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
31,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
32,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
33,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
34,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
35,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
36,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
37,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
38,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
39,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
40,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
41,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
42,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
43,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
44,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
45,"['LDO_TID', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_TID']
46,"['LDO_SEGR', 'MCU_SEL', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
47,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
48,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
49,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
50,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
51,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
52,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
53,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
54,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
55,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
56,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
57,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
58,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
59,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
60,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
61,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
62,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
63,"['LDO_SEGR', 'MCU_SEL', 'MCU_SEFI', 'SRAM_SEL', 'LDO']",['LDO_SEGR']
