Run,LDO_TID,LDO_SEGR,MCU_TID,MCU_SEL,MCU_SEFI,WDT_TID,SRAM_TID,SRAM_SEL,LDO,WDT,Harden_SRAM_SEL,Harden_MCU_SEL,Harden_MCU_SEFI,SRAM,MCU,Payload
0,466707.09997229395,195381.54883876414,700339.8363409645,23.73535941995229,459.71006827606027,inf,inf,54.795050527187655,195381.54883876414,inf,inf,inf,inf,inf,700339.8363409645,195381.54883876414
1,466273.9394991151,195158.77791970456,658428.845737923,3.8227248736171013,668.101740989312,inf,inf,32.62881238218842,195158.77791970456,inf,inf,inf,inf,inf,658428.845737923,195158.77791970456
2,583953.495894913,37620.443727957514,739318.6789361667,56.84244508974823,3281.78983817728,inf,inf,3.7996920121116284,37620.443727957514,inf,inf,inf,inf,inf,739318.6789361667,37620.443727957514
3,541617.3487578476,195364.68777065678,581097.9715639282,22.90940825966031,1094.635001616884,inf,inf,58.5516468221819,195364.68777065678,inf,inf,inf,inf,inf,581097.9715639282,195364.68777065678
4,507064.71419948473,1999.7498013380764,839166.7115649774,26.082605527350943,619.8077382802413,inf,inf,30.988124335127022,1999.7498013380764,inf,inf,inf,inf,inf,839166.7115649774,1999.7498013380764
5,505572.6701817246,191467.10367208684,927336.9866010629,3.307150959337026,397.5638202039955,inf,inf,37.09269168109427,191467.10367208684,inf,inf,inf,inf,inf,927336.9866010629,191467.10367208684
6,541923.0476689318,829.9205484653089,857852.343911665,5.626790175324075,1670.1569333170683,inf,inf,71.502474806484,829.9205484653089,inf,inf,inf,inf,inf,857852.343911665,829.9205484653089
7,583106.82891111,37188.675466126944,619954.5908417011,25.605898485891295,594.2504133267986,inf,inf,48.02351502649408,37188.675466126944,inf,inf,inf,inf,inf,619954.5908417011,37188.675466126944
8,619291.8297620735,886.9577781980086,619112.4572636738,45.76299365169657,980.8671471181107,inf,inf,27.084889329443122,886.9577781980086,inf,inf,inf,inf,inf,619112.4572636738,886.9577781980086
9,428117.93848940544,37258.11775964404,660878.5807573065,42.09471055228897,294.4961868281264,inf,inf,23.141695673259388,37258.11775964404,inf,inf,inf,inf,inf,660878.5807573065,37258.11775964404
10,583455.373354622,618544.155846985,808125.2024384041,46.183953199001046,187.6689236606926,inf,inf,36.71497655578712,583455.373354622,inf,inf,inf,inf,inf,808125.2024384041,583455.373354622
11,425172.31148539466,80376.50050760897,660530.5487520738,8.210842099147543,415.7394840014693,inf,inf,16.484907597366938,80376.50050760897,inf,inf,inf,inf,inf,660530.5487520738,80376.50050760897
12,658555.9588491888,234796.46292157256,697259.3550543091,20.198905627578462,121.85040869111188,inf,inf,25.094067274805212,234796.46292157256,inf,inf,inf,inf,inf,697259.3550543091,234796.46292157256
13,506291.80006081064,153433.4327236765,775276.6838894874,53.194774806019694,1088.5349484829128,inf,inf,148.1348835420081,153433.4327236765,inf,inf,inf,inf,inf,775276.6838894874,153433.4327236765
