Time (s),LDO_TID,LDO_SEGR,MCU_TID,MCU_SEL,MCU_SEFI,WDT_TID,SRAM_TID,SRAM_SEL,LDO,WDT,Harden_SRAM_SEL,Harden_MCU_SEL,Harden_MCU_SEFI,SRAM,MCU,Payload
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,-0.0010706077919743,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010706077919743,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010706077919743
120.0,0.0,-0.0016577492075408,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016577492075408,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016577492075408
179.0,0.0,-0.0023617734961465,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023617734961465,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023617734961465
240.0,0.0,-0.0031868317027356,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031868317027356,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031868317027356
299.0,0.0,-0.0042616122229175,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042616122229175,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042616122229175
360.0,0.0,-0.0056064334231824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056064334231824,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056064334231824
419.0,0.0,-0.007425489944035601,0.0,0.0,0.0,0.0,0.0,0.0,-0.007425489944035601,0.0,0.0,0.0,0.0,0.0,0.0,-0.007425489944035601
480.0,0.0,-0.0097189673175877,0.0,0.0,0.0,0.0,0.0,0.0,-0.0097189673175877,0.0,0.0,0.0,0.0,0.0,0.0,-0.0097189673175877
540.0,0.0,-0.0127432094078098,0.0,0.0,0.0,0.0,0.0,0.0,-0.0127432094078098,0.0,0.0,0.0,0.0,0.0,0.0,-0.0127432094078098
599.0,0.0,-0.0164314691777409,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164314691777409,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164314691777409
660.0,0.0,-0.0207735130509334,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207735130509334,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207735130509334
719.0,0.0,-0.0259589620981932,0.0,0.0,0.0,0.0,0.0,0.0,-0.0259589620981932,0.0,0.0,0.0,0.0,0.0,0.0,-0.0259589620981932
780.0,0.0,-0.031559923449154,0.0,0.0,0.0,0.0,0.0,0.0,-0.031559923449154,0.0,0.0,0.0,0.0,0.0,0.0,-0.031559923449154
839.0,0.0,-0.0378396560558016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0378396560558016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0378396560558016
900.0,0.0,-0.0442647238736739,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442647238736739,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442647238736739
959.0,0.0,-0.05114838390273001,0.0,0.0,0.0,0.0,0.0,0.0,-0.05114838390273001,0.0,0.0,0.0,0.0,0.0,0.0,-0.05114838390273001
1020.0,0.0,-0.0579327711458746,0.0,0.0,0.0,0.0,0.0,0.0,-0.0579327711458746,0.0,0.0,0.0,0.0,0.0,0.0,-0.0579327711458746
1080.0,0.0,-0.0649828153624531,0.0,0.0,0.0,0.0,0.0,0.0,-0.0649828153624531,0.0,0.0,0.0,0.0,0.0,0.0,-0.0649828153624531
1139.0,0.0,-0.0718733747858067,0.0,0.0,0.0,0.0,0.0,0.0,-0.0718733747858067,0.0,0.0,0.0,0.0,0.0,0.0,-0.0718733747858067
1200.0,0.0,-0.0785452487573703,0.0,0.0,0.0,0.0,0.0,0.0,-0.0785452487573703,0.0,0.0,0.0,0.0,0.0,0.0,-0.0785452487573703
1259.0,0.0,-0.0852786558757237,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852786558757237,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852786558757237
1320.0,0.0,-0.0915825503151728,0.0,0.0,0.0,0.0,0.0,0.0,-0.0915825503151728,0.0,0.0,0.0,0.0,0.0,0.0,-0.0915825503151728
1379.0,0.0,-0.0978385764739355,0.0,0.0,0.0,0.0,0.0,0.0,-0.0978385764739355,0.0,0.0,0.0,0.0,0.0,0.0,-0.0978385764739355
1440.0,0.0,-0.10360059706901961,0.0,0.0,0.0,0.0,0.0,0.0,-0.10360059706901961,0.0,0.0,0.0,0.0,0.0,0.0,-0.10360059706901961
1499.0,0.0,-0.1092286411527815,0.0,0.0,0.0,0.0,0.0,0.0,-0.1092286411527815,0.0,0.0,0.0,0.0,0.0,0.0,-0.1092286411527815
1560.0,0.0,-0.1143371679633098,0.0,0.0,0.0,0.0,0.0,0.0,-0.1143371679633098,0.0,0.0,0.0,0.0,0.0,0.0,-0.1143371679633098
1620.0,0.0,-0.11925631743457131,0.0,0.0,0.0,0.0,0.0,0.0,-0.11925631743457131,0.0,0.0,0.0,0.0,0.0,0.0,-0.11925631743457131
1679.0,0.0,-0.12373592581540471,0.0,0.0,0.0,0.0,0.0,0.0,-0.12373592581540471,0.0,0.0,0.0,0.0,0.0,0.0,-0.12373592581540471
1740.0,0.0,-0.127790987159437,0.0,0.0,0.0,0.0,0.0,0.0,-0.127790987159437,0.0,0.0,0.0,0.0,0.0,0.0,-0.127790987159437
1799.0,0.0,-0.1316310166853334,0.0,0.0,0.0,0.0,0.0,0.0,-0.1316310166853334,0.0,0.0,0.0,0.0,0.0,0.0,-0.1316310166853334
1860.0,0.0,-0.1350185945182221,0.0,0.0,0.0,0.0,0.0,0.0,-0.1350185945182221,0.0,0.0,0.0,0.0,0.0,0.0,-0.1350185945182221
1919.0,0.0,-0.1382008332779191,0.0,0.0,0.0,0.0,0.0,0.0,-0.1382008332779191,0.0,0.0,0.0,0.0,0.0,0.0,-0.1382008332779191
1980.0,0.0,-0.1409889949902535,0.0,0.0,0.0,0.0,0.0,0.0,-0.1409889949902535,0.0,0.0,0.0,0.0,0.0,0.0,-0.1409889949902535
2039.0,0.0,-0.1435939640801673,0.0,0.0,0.0,0.0,0.0,0.0,-0.1435939640801673,0.0,0.0,0.0,0.0,0.0,0.0,-0.1435939640801673
2100.0,0.0,-0.145863356814573,0.0,0.0,0.0,0.0,0.0,0.0,-0.145863356814573,0.0,0.0,0.0,0.0,0.0,0.0,-0.145863356814573
2160.0,0.0,-0.1479733917747351,0.0,0.0,0.0,0.0,0.0,0.0,-0.1479733917747351,0.0,0.0,0.0,0.0,0.0,0.0,-0.1479733917747351
2219.0,0.0,-0.149835875178808,0.0,0.0,0.0,0.0,0.0,0.0,-0.149835875178808,0.0,0.0,0.0,0.0,0.0,0.0,-0.149835875178808
2280.0,0.0,-0.1514760635342089,0.0,0.0,0.0,0.0,0.0,0.0,-0.1514760635342089,0.0,0.0,0.0,0.0,0.0,0.0,-0.1514760635342089
2339.0,0.0,-0.1529911859067614,0.0,0.0,0.0,0.0,0.0,0.0,-0.1529911859067614,0.0,0.0,0.0,0.0,0.0,0.0,-0.1529911859067614
2400.0,0.0,-0.1542957840403497,0.0,0.0,0.0,0.0,0.0,0.0,-0.1542957840403497,0.0,0.0,0.0,0.0,0.0,0.0,-0.1542957840403497
2459.0,0.0,-0.1554960704933105,0.0,0.0,0.0,0.0,0.0,0.0,-0.1554960704933105,0.0,0.0,0.0,0.0,0.0,0.0,-0.1554960704933105
2520.0,0.0,-0.1565268085002492,0.0,0.0,0.0,0.0,0.0,0.0,-0.1565268085002492,0.0,0.0,0.0,0.0,0.0,0.0,-0.1565268085002492
2579.0,0.0,-0.1574711631551857,0.0,0.0,0.0,0.0,0.0,0.0,-0.1574711631551857,0.0,0.0,0.0,0.0,0.0,0.0,-0.1574711631551857
2640.0,0.0,-0.1582796057165772,0.0,0.0,0.0,0.0,0.0,0.0,-0.1582796057165772,0.0,0.0,0.0,0.0,0.0,0.0,-0.1582796057165772
2700.0,0.0,-0.1590178085559941,0.0,0.0,0.0,0.0,0.0,0.0,-0.1590178085559941,0.0,0.0,0.0,0.0,0.0,0.0,-0.1590178085559941
2759.0,0.0,-0.159657929940369,0.0,0.0,0.0,0.0,0.0,0.0,-0.159657929940369,0.0,0.0,0.0,0.0,0.0,0.0,-0.159657929940369
2820.0,0.0,-0.1602124880306007,0.0,0.0,0.0,0.0,0.0,0.0,-0.1602124880306007,0.0,0.0,0.0,0.0,0.0,0.0,-0.1602124880306007
2879.0,0.0,-0.1607163967798506,0.0,0.0,0.0,0.0,0.0,0.0,-0.1607163967798506,0.0,0.0,0.0,0.0,0.0,0.0,-0.1607163967798506
2940.0,0.0,-0.1611445189507102,0.0,0.0,0.0,0.0,0.0,0.0,-0.1611445189507102,0.0,0.0,0.0,0.0,0.0,0.0,-0.1611445189507102
2999.0,0.0,-0.1615327041769966,0.0,0.0,0.0,0.0,0.0,0.0,-0.1615327041769966,0.0,0.0,0.0,0.0,0.0,0.0,-0.1615327041769966
3060.0,0.0,-0.1618616850070901,0.0,0.0,0.0,0.0,0.0,0.0,-0.1618616850070901,0.0,0.0,0.0,0.0,0.0,0.0,-0.1618616850070901
3119.0,0.0,-0.1621592049810118,0.0,0.0,0.0,0.0,0.0,0.0,-0.1621592049810118,0.0,0.0,0.0,0.0,0.0,0.0,-0.1621592049810118
3180.0,0.0,-0.1624106744157591,0.0,0.0,0.0,0.0,0.0,0.0,-0.1624106744157591,0.0,0.0,0.0,0.0,0.0,0.0,-0.1624106744157591
