Time (s),A,B1,B2,Y,Z
0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.0,-1.79319577569159e-06,-1.79319577569159e-06,-1.79319577569159e-06,-1.79319577569159e-06
40000.0,0.0,-7.16318122580922e-06,-7.16318122580922e-06,-7.16318122580922e-06,-7.16318122580922e-06
60000.0,0.0,-1.609558727237318e-05,-1.609558727237318e-05,-1.609558727237318e-05,-1.609558727237318e-05
80000.0,0.0,-2.857608971746758e-05,-2.857608971746758e-05,-2.857608971746758e-05,-2.857608971746758e-05
100000.0,0.0,-4.459040911451992e-05,-4.459040911451992e-05,-4.459040911451992e-05,-4.459040911451992e-05
120000.0,0.0,-6.412431063994252e-05,-6.412431063994252e-05,-6.412431063994252e-05,-6.412431063994252e-05
140000.0,0.0,-8.716360396512455e-05,-8.716360396512455e-05,-8.716360396512455e-05,-8.716360396512455e-05
160000.0,0.0,-0.00011369414312877768,-0.00011369414312877768,-0.00011369414312877768,-0.00011369414312877768
180000.0,0.0,-0.00014370182640963914,-0.00014370182640963914,-0.00014370182640963914,-0.00014370182640963914
200000.0,0.0,-0.00017717259619951783,-0.00017717259619951783,-0.00017717259619951783,-0.00017717259619951783
220000.0,0.0,-0.00021409243887671005,-0.00021409243887671005,-0.00021409243887671005,-0.00021409243887671005
240000.0,0.0,-0.0002544473846797454,-0.0002544473846797454,-0.0002544473846797454,-0.0002544473846797454
260000.0,0.0,-0.0002982235075814837,-0.0002982235075814837,-0.0002982235075814837,-0.0002982235075814837
280000.0,0.0,-0.00034540692516357865,-0.00034540692516357865,-0.00034540692516357865,-0.00034540692516357865
300000.0,0.0,-0.0003959837984912782,-0.0003959837984912782,-0.0003959837984912782,-0.0003959837984912782
320000.0,0.0,-0.00044994033198855185,-0.00044994033198855185,-0.00044994033198855185,-0.00044994033198855185
340000.0,0.0,-0.0005072627733136068,-0.0005072627733136068,-0.0005072627733136068,-0.0005072627733136068
360000.0,0.0,-0.0005679374132346952,-0.0005679374132346952,-0.0005679374132346952,-0.0005679374132346952
380000.0,0.0,-0.0006319505855063277,-0.0006319505855063277,-0.0006319505855063277,-0.0006319505855063277
400000.0,0.0,-0.0006992886667457536,-0.0006992886667457536,-0.0006992886667457536,-0.0006992886667457536
420000.0,0.0,-0.0007699380763098679,-0.0007699380763098679,-0.0007699380763098679,-0.0007699380763098679
440000.0,0.0,-0.0008438852761723892,-0.0008438852761723892,-0.0008438852761723892,-0.0008438852761723892
460000.0,0.0,-0.0009211167708013905,-0.0009211167708013905,-0.0009211167708013905,-0.0009211167708013905
480000.0,0.0,-0.0010016191070372363,-0.0010016191070372363,-0.0010016191070372363,-0.0010016191070372363
500000.0,0.0,-0.0010853788739707455,-0.0010853788739707455,-0.0010853788739707455,-0.0010853788739707455
520000.0,0.0,-0.0011723827028217722,-0.0011723827028217722,-0.0011723827028217722,-0.0011723827028217722
540000.0,0.0,-0.001262617266818125,-0.001262617266818125,-0.001262617266818125,-0.001262617266818125
560000.0,0.0,-0.0013560692810747482,-0.0013560692810747482,-0.0013560692810747482,-0.0013560692810747482
