Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
0.0,20000.0,0.0023,46.0,46.0,,,
20000.0,20000.0,0.0023,46.0,92.0,0.0,1.0,1.0
40000.0,20000.0,0.0023,46.0,138.0,0.0,1.0,1.0
60000.0,20000.0,0.0023,46.0,184.0,0.0,1.0,1.0
80000.0,20000.0,0.0023,46.0,230.0,0.0,1.0,1.0
100000.0,20000.0,0.0023,46.0,276.0,0.0,1.0,1.0
120000.0,20000.0,0.0023,46.0,322.0,0.0,1.0,1.0
140000.0,20000.0,0.0023,46.0,368.0,0.0,1.0,1.0
160000.0,20000.0,0.0023,46.0,414.0,0.0,1.0,1.0
180000.0,20000.0,0.0023,46.0,460.0,0.0,1.0000000000000002,1.0
200000.0,20000.0,0.0023,46.0,506.0,0.0,1.0,1.0
220000.0,20000.0,0.0023,46.0,552.0,0.0,1.0,1.0
240000.0,20000.0,0.0023,46.0,598.0,0.0,1.0,1.0
260000.0,20000.0,0.0023,46.0,644.0,0.0,1.0,1.0
280000.0,20000.0,0.0023,46.0,690.0,0.0,1.0,1.0
300000.0,20000.0,0.0023,46.0,736.0,0.0,1.0,1.0
320000.0,20000.0,0.0023,46.0,782.0,0.0,1.0,1.0
340000.0,20000.0,0.0023,46.0,828.0,0.0,1.0,1.0
360000.0,20000.0,0.0023,46.0,874.0,0.0,1.0,1.0
380000.0,20000.0,0.0023,46.0,920.0,0.0,1.0000000000000002,1.0
400000.0,20000.0,0.0023,46.0,966.0,0.0,1.0,1.0
420000.0,20000.0,0.0023,46.0,1012.0,0.0,1.0000000000000002,1.0
440000.0,20000.0,0.0023,46.0,1058.0,0.0,1.0,1.0
460000.0,20000.0,0.0023,46.0,1104.0,0.0,1.0,1.0
480000.0,20000.0,0.0023,46.0,1150.0,0.0,1.0,1.0
500000.0,20000.0,0.0023,46.0,1196.0,0.0,1.0,1.0
520000.0,20000.0,0.0023,46.0,1242.0,0.0,1.0,1.0
540000.0,20000.0,0.0023,46.0,1288.0,0.0,1.0,1.0
560000.0,20000.0,0.0023,46.0,1334.0,0.0,1.0,1.0
580000.0,20000.0,0.0023,46.0,1380.0,0.0,1.0,1.0
600000.0,20000.0,0.0023,46.0,1426.0,0.0,1.0,1.0
620000.0,20000.0,0.0023,46.0,1472.0,0.0,1.0,1.0
640000.0,20000.0,0.0023,46.0,1518.0,0.0,1.0,1.0
660000.0,20000.0,0.0023,46.0,1564.0,0.0,1.0,1.0
680000.0,20000.0,0.0023,46.0,1610.0,0.0,1.0,1.0
700000.0,20000.0,0.0023,46.0,1656.0,0.0,1.0,1.0
720000.0,20000.0,0.0023,46.0,1702.0,0.0,1.0,1.0
740000.0,20000.0,0.0023,46.0,1748.0,0.0,1.0,1.0
760000.0,20000.0,0.0023,46.0,1794.0,0.0,1.0,1.0
780000.0,20000.0,0.0023,46.0,1840.0,0.0,1.0000000000000002,1.0
800000.0,20000.0,0.0023,46.0,1886.0,0.0,0.9999999999999999,1.0
820000.0,20000.0,0.0023,46.0,1932.0,0.0,0.9999999999999999,1.0
840000.0,20000.0,0.0023,46.0,1978.0,0.0,1.0,1.0
860000.0,20000.0,0.0023,46.0,2024.0,0.0,1.0,1.0
880000.0,20000.0,0.0023,46.0,2070.0,0.0,1.0,1.0
900000.0,20000.0,0.0023,46.0,2116.0,0.0,0.9999999999999999,1.0
920000.0,20000.0,0.0023,46.0,2162.0,0.0,0.9999999999999999,1.0
940000.0,20000.0,0.0023,46.0,2208.0,0.0,1.0,1.0
960000.0,20000.0,0.0023,46.0,2254.0,0.0,1.0,1.0
980000.0,20000.0,0.0023,46.0,2300.0,0.0,1.0,1.0
1000000.0,20000.0,0.0023,46.0,2346.0,0.0,1.0,1.0
1020000.0,20000.0,0.0023,46.0,2392.0,0.0,1.0,1.0
1040000.0,20000.0,0.0023,46.0,2438.0,0.0,1.0,1.0
1060000.0,20000.0,0.0023,46.0,2484.0,0.0,1.0,1.0
1080000.0,20000.0,0.0023,46.0,2530.0,0.0,1.0,1.0
1100000.0,20000.0,0.0023,46.0,2576.0,0.0,1.0,1.0
1120000.0,20000.0,0.0023,46.0,2622.0,0.0,1.0,1.0
1140000.0,20000.0,0.0023,46.0,2668.0,0.0,1.0,1.0
1160000.0,20000.0,0.0023,46.0,2714.0,0.0,1.0,1.0
1180000.0,20000.0,0.0023,46.0,2760.0,0.0,1.0,1.0
1200000.0,20000.0,0.0023,46.0,2806.0,0.0,1.0,1.0
1220000.0,20000.0,0.0023,46.0,2852.0,0.0,1.0,1.0
1240000.0,20000.0,0.0023,46.0,2898.0,0.0,1.0,1.0
1260000.0,20000.0,0.0023,46.0,2944.0,0.0,1.0,1.0
1280000.0,20000.0,0.0023,46.0,2990.0,0.0,1.0,1.0
1300000.0,20000.0,0.0023,46.0,3036.0,0.0,1.0,1.0
1320000.0,20000.0,0.0023,46.0,3082.0,0.0,1.0,1.0
1340000.0,20000.0,0.0023,46.0,3128.0,0.0,1.0,1.0
1360000.0,20000.0,0.0023,46.0,3174.0,0.0,1.0,1.0
1380000.0,20000.0,0.0023,46.0,3220.0,0.0,1.0,1.0
1400000.0,20000.0,0.0023,46.0,3266.0,0.0,1.0,1.0
1420000.0,20000.0,0.0023,46.0,3312.0,0.0,1.0,1.0
1440000.0,20000.0,0.0023,46.0,3358.0,0.0,1.0,1.0
1460000.0,20000.0,0.0023,46.0,3404.0,0.0,1.0,1.0
1480000.0,20000.0,0.0023,46.0,3450.0,0.0,1.0,1.0
1500000.0,20000.0,0.0023,46.0,3496.0,0.0,1.0,1.0
1520000.0,20000.0,0.0023,46.0,3542.0,0.0,1.0,1.0
1540000.0,20000.0,0.0023,46.0,3588.0,0.0,1.0,1.0
1560000.0,20000.0,0.0023,46.0,3634.0,0.0,0.9999999999999999,1.0
1580000.0,20000.0,0.0023,46.0,3680.0,0.0,1.0,1.0
1600000.0,20000.0,0.0023,46.0,3726.0,0.0,1.0000000000000002,1.0
1620000.0,20000.0,0.0023,46.0,3772.0,0.0,1.0,1.0
1640000.0,20000.0,0.0023,46.0,3818.0,0.0,1.0,1.0
1660000.0,20000.0,0.0023,46.0,3864.0,0.0,1.0,1.0
1680000.0,20000.0,0.0023,46.0,3910.0,0.0,1.0,1.0
1700000.0,20000.0,0.0023,46.0,3956.0,0.0,1.0,1.0
1720000.0,20000.0,0.0023,46.0,4002.0,0.0,1.0,1.0
1740000.0,20000.0,0.0023,46.0,4048.0,0.0,1.0,1.0
1760000.0,20000.0,0.0023,46.0,4094.0,0.0,1.0,1.0
1780000.0,20000.0,0.0023,46.0,4140.0,0.0,1.0,1.0
1800000.0,20000.0,0.0023,46.0,4186.0,0.0,1.0,1.0
1820000.0,20000.0,0.0023,46.0,4232.0,0.0,0.9999999999999999,1.0
1840000.0,20000.0,0.0023,46.0,4278.0,0.0,1.0,1.0
