Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
0.0,50000.0,0.001,50.0,50.0,1.0,1.0,1.0
50000.0,50000.0,0.001,50.0,100.0,0.9975031223974601,1.0,1.0
100000.0,50000.0,0.001,50.0,150.0,0.9950124791926823,1.0,1.0
150000.0,50000.0,0.001,50.0,200.0,0.9925280548191384,1.0,1.0
200000.0,50000.0,0.001,50.0,250.0,0.9900498337491681,1.0,1.0
250000.0,50000.0,0.001,50.0,300.0,0.9875778004938814,1.0,1.0
300000.0,50000.0,0.001,50.0,350.0,0.9851119396030626,1.0,1.0
350000.0,50000.0,0.001,50.0,400.0,0.9826522356650732,1.0,1.0
400000.0,50000.0,0.001,50.0,450.0,0.9801986733067553,1.0,1.0
450000.0,50000.0,0.001,50.0,500.0,0.9777512371933363,1.0,1.0
500000.0,50000.0,0.001,50.0,550.0,0.9753099120283327,1.0,1.0
550000.0,50000.0,0.001,50.0,600.0,0.9728746825534539,1.0,1.0
600000.0,50000.0,0.001,50.0,650.0,0.9704455335485082,1.0,1.0
650000.0,50000.0,0.001,50.0,700.0,0.968022449831306,1.0,1.0
700000.0,50000.0,0.001,50.0,750.0,0.9656054162575665,1.0,1.0
750000.0,50000.0,0.001,50.0,800.0,0.9631944177208218,1.0,1.0
800000.0,50000.0,0.001,50.0,850.0,0.9607894391523232,1.0,1.0
850000.0,50000.0,0.001,50.0,900.0,0.958390465520947,1.0,1.0
900000.0,50000.0,0.001,50.0,950.0,0.9559974818331,1.0,1.0
950000.0,50000.0,0.001,50.0,1000.0,0.9536104731326264,1.0,1.0
1000000.0,50000.0,0.001,50.0,1050.0,0.951229424500714,1.0,1.0
1050000.0,50000.0,0.001,50.0,1100.0,0.9488543210558011,1.0,1.0
1100000.0,50000.0,0.001,50.0,1150.0,0.9464851479534838,1.0,1.0
1150000.0,50000.0,0.001,50.0,1200.0,0.9441218903864221,1.0,1.0
1200000.0,50000.0,0.001,50.0,1250.0,0.9417645335842487,1.0,1.0
1250000.0,50000.0,0.001,50.0,1300.0,0.9394130628134758,1.0,1.0
1300000.0,50000.0,0.001,50.0,1350.0,0.9370674633774034,1.0,1.0
1350000.0,50000.0,0.001,50.0,1400.0,0.9347277206160276,1.0,1.0
1400000.0,50000.0,0.001,50.0,1450.0,0.9323938199059483,1.0,1.0
1450000.0,50000.0,0.001,50.0,1500.0,0.9300657466602785,1.0,1.0
1500000.0,50000.0,0.001,50.0,1550.0,0.9277434863285529,1.0,1.0
1550000.0,50000.0,0.001,50.0,1600.0,0.9254270243966368,1.0,1.0
