Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
0.0,20000.0,0.0023,46.0,46.0,1.0,1.0,1.0
20000.0,20000.0,0.0023,46.0,92.0,0.998660897399117,1.0,1.0
40000.0,20000.0,0.0023,46.0,138.0,0.9973235879940096,1.0,1.0
60000.0,20000.0,0.0023,46.0,184.0,0.9959880693834049,1.0,1.0
80000.0,20000.0,0.0023,46.0,230.0,0.9946543391692451,1.0,1.0
100000.0,20000.0,0.0023,46.0,276.0,0.993322394956684,1.0,1.0
120000.0,20000.0,0.0023,46.0,322.0,0.9919922343540821,1.0,1.0
140000.0,20000.0,0.0023,46.0,368.0,0.9906638549730028,1.0,1.0
160000.0,20000.0,0.0023,46.0,414.0,0.9893372544282076,1.0,1.0
180000.0,20000.0,0.0023,46.0,460.0,0.9880124303376523,1.0,1.0
200000.0,20000.0,0.0023,46.0,506.0,0.9866893803224824,1.0,1.0
220000.0,20000.0,0.0023,46.0,552.0,0.985368102007029,1.0,1.0
240000.0,20000.0,0.0023,46.0,598.0,0.9840485930188041,1.0,1.0
260000.0,20000.0,0.0023,46.0,644.0,0.9827308509884973,1.0,1.0
280000.0,20000.0,0.0023,46.0,690.0,0.9814148735499706,1.0,1.0
300000.0,20000.0,0.0023,46.0,736.0,0.9801006583402546,1.0,1.0
320000.0,20000.0,0.0023,46.0,782.0,0.978788202999544,1.0,1.0
340000.0,20000.0,0.0023,46.0,828.0,0.9774775051711937,1.0,1.0
360000.0,20000.0,0.0023,46.0,874.0,0.9761685625017144,1.0,1.0
380000.0,20000.0,0.0023,46.0,920.0,0.974861372640768,1.0,1.0
400000.0,20000.0,0.0023,46.0,966.0,0.9735559332411644,1.0,1.0
420000.0,20000.0,0.0023,46.0,1012.0,0.9722522419588561,1.0,1.0
440000.0,20000.0,0.0023,46.0,1058.0,0.9709502964529345,1.0,1.0
460000.0,20000.0,0.0023,46.0,1104.0,0.9696500943856263,1.0,1.0
480000.0,20000.0,0.0023,46.0,1150.0,0.968351633422288,1.0,1.0
500000.0,20000.0,0.0023,46.0,1196.0,0.9670549112314029,1.0,1.0
520000.0,20000.0,0.0023,46.0,1242.0,0.9657599254845762,1.0,1.0
540000.0,20000.0,0.0023,46.0,1288.0,0.9644666738565312,1.0,1.0
560000.0,20000.0,0.0023,46.0,1334.0,0.9631751540251048,1.0,1.0
580000.0,20000.0,0.0023,46.0,1380.0,0.961885363671244,1.0,1.0
600000.0,20000.0,0.0023,46.0,1426.0,0.9605973004790004,1.0,1.0
620000.0,20000.0,0.0023,46.0,1472.0,0.9593109621355279,1.0,1.0
640000.0,20000.0,0.0023,46.0,1518.0,0.9580263463310766,1.0,1.0
660000.0,20000.0,0.0023,46.0,1564.0,0.95674345075899,1.0,1.0
680000.0,20000.0,0.0023,46.0,1610.0,0.9554622731157009,1.0,1.0
700000.0,20000.0,0.0023,46.0,1656.0,0.9541828111007262,1.0,1.0
720000.0,20000.0,0.0023,46.0,1702.0,0.9529050624166633,1.0,1.0
740000.0,20000.0,0.0023,46.0,1748.0,0.9516290247691865,1.0,1.0
760000.0,20000.0,0.0023,46.0,1794.0,0.9503546958670424,1.0,1.0
780000.0,20000.0,0.0023,46.0,1840.0,0.9490820734220453,1.0,1.0
800000.0,20000.0,0.0023,46.0,1886.0,0.9478111551490744,1.0,1.0
820000.0,20000.0,0.0023,46.0,1932.0,0.9465419387660684,1.0,1.0
840000.0,20000.0,0.0023,46.0,1978.0,0.9452744219940219,1.0,1.0
860000.0,20000.0,0.0023,46.0,2024.0,0.9440086025569814,1.0,1.0
880000.0,20000.0,0.0023,46.0,2070.0,0.9427444781820415,1.0,1.0
900000.0,20000.0,0.0023,46.0,2116.0,0.9414820465993399,1.0,1.0
920000.0,20000.0,0.0023,46.0,2162.0,0.9402213055420539,1.0,1.0
940000.0,20000.0,0.0023,46.0,2208.0,0.938962252746397,1.0,1.0
960000.0,20000.0,0.0023,46.0,2254.0,0.9377048859516133,1.0,1.0
980000.0,20000.0,0.0023,46.0,2300.0,0.9364492028999747,1.0,1.0
1000000.0,20000.0,0.0023,46.0,2346.0,0.9351952013367766,1.0,1.0
1020000.0,20000.0,0.0023,46.0,2392.0,0.9339428790103331,1.0,1.0
1040000.0,20000.0,0.0023,46.0,2438.0,0.9326922336719742,1.0,1.0
1060000.0,20000.0,0.0023,46.0,2484.0,0.9314432630760406,1.0,1.0
1080000.0,20000.0,0.0023,46.0,2530.0,0.9301959649798806,1.0,1.0
1100000.0,20000.0,0.0023,46.0,2576.0,0.9289503371438451,1.0,1.0
1120000.0,20000.0,0.0023,46.0,2622.0,0.9277063773312846,1.0,1.0
1140000.0,20000.0,0.0023,46.0,2668.0,0.9264640833085445,1.0,1.0
1160000.0,20000.0,0.0023,46.0,2714.0,0.9252234528449613,1.0,1.0
1180000.0,20000.0,0.0023,46.0,2760.0,0.9239844837128587,1.0,1.0
1200000.0,20000.0,0.0023,46.0,2806.0,0.9227471736875432,1.0,1.0
1220000.0,20000.0,0.0023,46.0,2852.0,0.9215115205473008,1.0,1.0
1240000.0,20000.0,0.0023,46.0,2898.0,0.9202775220733922,1.0,1.0
1260000.0,20000.0,0.0023,46.0,2944.0,0.9190451760500495,1.0,1.0
1280000.0,20000.0,0.0023,46.0,2990.0,0.917814480264472,1.0,1.0
1300000.0,20000.0,0.0023,46.0,3036.0,0.9165854325068217,1.0,1.0
1320000.0,20000.0,0.0023,46.0,3082.0,0.9153580305702202,1.0,1.0
1340000.0,20000.0,0.0023,46.0,3128.0,0.9141322722507446,1.0,1.0
1360000.0,20000.0,0.0023,46.0,3174.0,0.9129081553474224,1.0,1.0
1380000.0,20000.0,0.0023,46.0,3220.0,0.9116856776622294,1.0,1.0
1400000.0,20000.0,0.0023,46.0,3266.0,0.9104648370000841,1.0,1.0
1420000.0,20000.0,0.0023,46.0,3312.0,0.9092456311688447,1.0,1.0
1440000.0,20000.0,0.0023,46.0,3358.0,0.908028057979305,1.0,1.0
1460000.0,20000.0,0.0023,46.0,3404.0,0.9068121152451901,1.0,1.0
1480000.0,20000.0,0.0023,46.0,3450.0,0.9055978007831531,1.0,1.0
1500000.0,20000.0,0.0023,46.0,3496.0,0.9043851124127704,1.0,1.0
1520000.0,20000.0,0.0023,46.0,3542.0,0.9031740479565384,1.0,1.0
1540000.0,20000.0,0.0023,46.0,3588.0,0.9019646052398699,1.0,1.0
1560000.0,20000.0,0.0023,46.0,3634.0,0.900756782091089,1.0,1.0
1580000.0,20000.0,0.0023,46.0,3680.0,0.8995505763414274,1.0,1.0
1600000.0,20000.0,0.0023,46.0,3726.0,0.8983459858250229,1.0,1.0
1620000.0,20000.0,0.0023,46.0,3772.0,0.8971430083789118,1.0,1.0
1640000.0,20000.0,0.0023,46.0,3818.0,0.8959416418430276,1.0,1.0
1660000.0,20000.0,0.0023,46.0,3864.0,0.8947418840601962,1.0,1.0
1680000.0,20000.0,0.0023,46.0,3910.0,0.8935437328761322,1.0,1.0
1700000.0,20000.0,0.0023,46.0,3956.0,0.892347186139435,1.0,1.0
1720000.0,20000.0,0.0023,46.0,4002.0,0.891152241701585,1.0,1.0
1740000.0,20000.0,0.0023,46.0,4048.0,0.8899588974169398,1.0,1.0
1760000.0,20000.0,0.0023,46.0,4094.0,0.8887671511427297,1.0,1.0
1780000.0,20000.0,0.0023,46.0,4140.0,0.887577000739055,1.0,1.0
1800000.0,20000.0,0.0023,46.0,4186.0,0.8863884440688815,1.0,1.0
1820000.0,20000.0,0.0023,46.0,4232.0,0.8852014789980361,1.0,1.0
1840000.0,20000.0,0.0023,46.0,4278.0,0.8840161033952044,1.0,1.0
1860000.0,20000.0,0.0023,46.0,4324.0,0.8828323151319254,1.0,1.0
1880000.0,20000.0,0.0023,46.0,4370.0,0.8816501120825886,1.0,1.0
1900000.0,20000.0,0.0023,46.0,4416.0,0.88046949212443,1.0,1.0
1920000.0,20000.0,0.0023,46.0,4462.0,0.8792904531375281,1.0,1.0
1940000.0,20000.0,0.0023,46.0,4508.0,0.8781129930048,1.0,1.0
1960000.0,20000.0,0.0023,46.0,4554.0,0.8769371096119981,1.0,1.0
1980000.0,20000.0,0.0023,46.0,4600.0,0.8757628008477059,1.0,1.0
2000000.0,20000.0,0.0023,46.0,4646.0,0.8745900646033339,1.0,1.0
2020000.0,20000.0,0.0023,46.0,4692.0,0.8734188987731173,1.0,1.0
2040000.0,20000.0,0.0023,46.0,4738.0,0.8722493012541097,1.0,1.0
