Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
0.0,20000.0,0.0023,46.0,46.0,0.0,0.001339102600882991,0.001339102600882991
20000.0,20000.0,0.0023,46.0,92.0,0.0,0.001339102600882991,0.001339102600882991
40000.0,20000.0,0.0023,46.0,138.0,0.0,0.0013373094051073453,0.0013373094051073453
60000.0,20000.0,0.0023,46.0,184.0,0.0,0.001335518610604769,0.001335518610604769
80000.0,20000.0,0.0023,46.0,230.0,0.0,0.001333730214159834,0.001333730214159834
100000.0,20000.0,0.0023,46.0,276.0,0.0,0.0013319442125611092,0.0013319442125611092
120000.0,20000.0,0.0023,46.0,322.0,0.0,0.0013301606026018264,0.0013301606026018264
140000.0,20000.0,0.0023,46.0,368.0,0.0,0.0013283793810793254,0.0013283793810793254
160000.0,20000.0,0.0023,46.0,414.0,0.0,0.0013266005447951645,0.0013266005447951645
180000.0,20000.0,0.0023,46.0,460.0,0.0,0.0013248240905553432,0.0013248240905553432
200000.0,20000.0,0.0023,46.0,506.0,0.0,0.0013230500151698577,0.0013230500151698577
220000.0,20000.0,0.0023,46.0,552.0,0.0,0.001321278315453478,0.001321278315453478
240000.0,20000.0,0.0023,46.0,598.0,0.0,0.00131950898822486,0.00131950898822486
260000.0,20000.0,0.0023,46.0,644.0,0.0,0.0013177420303067677,0.0013177420303067677
280000.0,20000.0,0.0023,46.0,690.0,0.0,0.0013159774385266276,0.0013159774385266276
300000.0,20000.0,0.0023,46.0,736.0,0.0,0.0013142152097160853,0.0013142152097160853
320000.0,20000.0,0.0023,46.0,782.0,0.0,0.001312455340710561,0.001312455340710561
340000.0,20000.0,0.0023,46.0,828.0,0.0,0.00131069782835036,0.00131069782835036
360000.0,20000.0,0.0023,46.0,874.0,0.0,0.0013089426694793405,0.0013089426694793405
380000.0,20000.0,0.0023,46.0,920.0,0.0,0.0013071898609463561,0.0013071898609463561
400000.0,20000.0,0.0023,46.0,966.0,0.0,0.0013054393996035918,0.0013054393996035918
420000.0,20000.0,0.0023,46.0,1012.0,0.0,0.001303691282308339,0.001303691282308339
440000.0,20000.0,0.0023,46.0,1058.0,0.0,0.0013019455059215534,0.0013019455059215534
460000.0,20000.0,0.0023,46.0,1104.0,0.0,0.001300202067308187,0.001300202067308187
480000.0,20000.0,0.0023,46.0,1150.0,0.0,0.0012984609633382993,0.0012984609633382993
500000.0,20000.0,0.0023,46.0,1196.0,0.0,0.001296722190885169,0.001296722190885169
520000.0,20000.0,0.0023,46.0,1242.0,0.0,0.0012949857468266268,0.0012949857468266268
540000.0,20000.0,0.0023,46.0,1288.0,0.0,0.0012932516280450557,0.0012932516280450557
560000.0,20000.0,0.0023,46.0,1334.0,0.0,0.00129151983142628,0.00129151983142628
580000.0,20000.0,0.0023,46.0,1380.0,0.0,0.001289790353860898,0.001289790353860898
600000.0,20000.0,0.0023,46.0,1426.0,0.0,0.0012880631922435049,0.0012880631922435049
620000.0,20000.0,0.0023,46.0,1472.0,0.0,0.0012863383434725817,0.0012863383434725817
640000.0,20000.0,0.0023,46.0,1518.0,0.0,0.0012846158044512723,0.0012846158044512723
660000.0,20000.0,0.0023,46.0,1564.0,0.0,0.0012828955720864954,0.0012828955720864954
680000.0,20000.0,0.0023,46.0,1610.0,0.0,0.0012811776432891664,0.0012811776432891664
700000.0,20000.0,0.0023,46.0,1656.0,0.0,0.0012794620149747526,0.0012794620149747526
720000.0,20000.0,0.0023,46.0,1702.0,0.0,0.0012777486840629404,0.0012777486840629404
740000.0,20000.0,0.0023,46.0,1748.0,0.0,0.0012760376474767465,0.0012760376474767465
760000.0,20000.0,0.0023,46.0,1794.0,0.0,0.001274328902144184,0.001274328902144184
780000.0,20000.0,0.0023,46.0,1840.0,0.0,0.0012726224449969292,0.0012726224449969292
800000.0,20000.0,0.0023,46.0,1886.0,0.0,0.001270918272970989,0.001270918272970989
820000.0,20000.0,0.0023,46.0,1932.0,0.0,0.0012692163830060332,0.0012692163830060332
840000.0,20000.0,0.0023,46.0,1978.0,0.0,0.0012675167720465064,0.0012675167720465064
860000.0,20000.0,0.0023,46.0,2024.0,0.0,0.0012658194370404052,0.0012658194370404052
880000.0,20000.0,0.0023,46.0,2070.0,0.0,0.0012641243749399456,0.0012641243749399456
900000.0,20000.0,0.0023,46.0,2116.0,0.0,0.001262431582701673,0.001262431582701673
920000.0,20000.0,0.0023,46.0,2162.0,0.0,0.001260741057285908,0.001260741057285908
940000.0,20000.0,0.0023,46.0,2208.0,0.0,0.0012590527956569675,0.0012590527956569675
960000.0,20000.0,0.0023,46.0,2254.0,0.0,0.0012573667947837208,0.0012573667947837208
980000.0,20000.0,0.0023,46.0,2300.0,0.0,0.0012556830516384787,0.0012556830516384787
1000000.0,20000.0,0.0023,46.0,2346.0,0.0,0.0012540015631982149,0.0012540015631982149
1020000.0,20000.0,0.0023,46.0,2392.0,0.0,0.0012523223264434558,0.0012523223264434558
1040000.0,20000.0,0.0023,46.0,2438.0,0.0,0.0012506453383589466,0.0012506453383589466
1060000.0,20000.0,0.0023,46.0,2484.0,0.0,0.0012489705959335407,0.0012489705959335407
1080000.0,20000.0,0.0023,46.0,2530.0,0.0,0.0012472980961600877,0.0012472980961600877
1100000.0,20000.0,0.0023,46.0,2576.0,0.0,0.0012456278360354345,0.0012456278360354345
1120000.0,20000.0,0.0023,46.0,2622.0,0.0,0.0012439598125605356,0.0012439598125605356
1140000.0,20000.0,0.0023,46.0,2668.0,0.0,0.0012422940227400092,0.0012422940227400092
1160000.0,20000.0,0.0023,46.0,2714.0,0.0,0.0012406304635832477,0.0012406304635832477
1180000.0,20000.0,0.0023,46.0,2760.0,0.0,0.0012389691321026408,0.0012389691321026408
1200000.0,20000.0,0.0023,46.0,2806.0,0.0,0.0012373100253154634,0.0012373100253154634
1220000.0,20000.0,0.0023,46.0,2852.0,0.0,0.001235653140242432,0.001235653140242432
1240000.0,20000.0,0.0023,46.0,2898.0,0.0,0.001233998473908593,0.001233998473908593
1260000.0,20000.0,0.0023,46.0,2944.0,0.0,0.0012323460233426564,0.0012323460233426564
1280000.0,20000.0,0.0023,46.0,2990.0,0.0,0.0012306957855775513,0.0012306957855775513
1300000.0,20000.0,0.0023,46.0,3036.0,0.0,0.0012290477576503145,0.0012290477576503145
1320000.0,20000.0,0.0023,46.0,3082.0,0.0,0.0012274019366014244,0.0012274019366014244
1340000.0,20000.0,0.0023,46.0,3128.0,0.0,0.0012257583194756894,0.0012257583194756894
1360000.0,20000.0,0.0023,46.0,3174.0,0.0,0.0012241169033221366,0.0012241169033221366
1380000.0,20000.0,0.0023,46.0,3220.0,0.0,0.001222477685193013,0.001222477685193013
1400000.0,20000.0,0.0023,46.0,3266.0,0.0,0.0012208406621453394,0.0012208406621453394
1420000.0,20000.0,0.0023,46.0,3312.0,0.0,0.001219205831239356,0.001219205831239356
1440000.0,20000.0,0.0023,46.0,3358.0,0.0,0.0012175731895397446,0.0012175731895397446
