Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
0.0,20000.0,0.0023,46.0,46.0,1.0,1.0,1.0
20000.0,20000.0,0.0023,46.0,92.0,0.998660897399117,0.998660897399117,0.998660897399117
40000.0,20000.0,0.0023,46.0,138.0,0.9973235879940096,0.9973235879940097,0.9973235879940097
60000.0,20000.0,0.0023,46.0,184.0,0.9959880693834049,0.9959880693834049,0.9959880693834049
80000.0,20000.0,0.0023,46.0,230.0,0.9946543391692451,0.9946543391692451,0.9946543391692451
100000.0,20000.0,0.0023,46.0,276.0,0.993322394956684,0.993322394956684,0.993322394956684
120000.0,20000.0,0.0023,46.0,322.0,0.9919922343540821,0.9919922343540821,0.9919922343540821
140000.0,20000.0,0.0023,46.0,368.0,0.9906638549730028,0.9906638549730028,0.9906638549730028
160000.0,20000.0,0.0023,46.0,414.0,0.9893372544282076,0.9893372544282076,0.9893372544282076
180000.0,20000.0,0.0023,46.0,460.0,0.9880124303376523,0.9880124303376523,0.9880124303376523
200000.0,20000.0,0.0023,46.0,506.0,0.9866893803224824,0.9866893803224824,0.9866893803224824
220000.0,20000.0,0.0023,46.0,552.0,0.985368102007029,0.985368102007029,0.985368102007029
240000.0,20000.0,0.0023,46.0,598.0,0.9840485930188041,0.9840485930188041,0.9840485930188041
260000.0,20000.0,0.0023,46.0,644.0,0.9827308509884973,0.9827308509884973,0.9827308509884973
280000.0,20000.0,0.0023,46.0,690.0,0.9814148735499706,0.9814148735499707,0.9814148735499707
300000.0,20000.0,0.0023,46.0,736.0,0.9801006583402546,0.9801006583402546,0.9801006583402546
320000.0,20000.0,0.0023,46.0,782.0,0.978788202999544,0.978788202999544,0.978788202999544
340000.0,20000.0,0.0023,46.0,828.0,0.9774775051711937,0.9774775051711937,0.9774775051711937
360000.0,20000.0,0.0023,46.0,874.0,0.9761685625017144,0.9761685625017144,0.9761685625017144
380000.0,20000.0,0.0023,46.0,920.0,0.974861372640768,0.974861372640768,0.974861372640768
400000.0,20000.0,0.0023,46.0,966.0,0.9735559332411644,0.9735559332411644,0.9735559332411644
420000.0,20000.0,0.0023,46.0,1012.0,0.9722522419588561,0.9722522419588561,0.9722522419588561
440000.0,20000.0,0.0023,46.0,1058.0,0.9709502964529345,0.9709502964529345,0.9709502964529345
460000.0,20000.0,0.0023,46.0,1104.0,0.9696500943856263,0.9696500943856263,0.9696500943856263
480000.0,20000.0,0.0023,46.0,1150.0,0.968351633422288,0.968351633422288,0.968351633422288
500000.0,20000.0,0.0023,46.0,1196.0,0.9670549112314029,0.9670549112314029,0.9670549112314029
520000.0,20000.0,0.0023,46.0,1242.0,0.9657599254845762,0.9657599254845762,0.9657599254845762
540000.0,20000.0,0.0023,46.0,1288.0,0.9644666738565312,0.9644666738565312,0.9644666738565312
560000.0,20000.0,0.0023,46.0,1334.0,0.9631751540251048,0.9631751540251049,0.9631751540251049
580000.0,20000.0,0.0023,46.0,1380.0,0.961885363671244,0.961885363671244,0.961885363671244
600000.0,20000.0,0.0023,46.0,1426.0,0.9605973004790004,0.9605973004790005,0.9605973004790005
620000.0,20000.0,0.0023,46.0,1472.0,0.9593109621355279,0.9593109621355279,0.9593109621355279
640000.0,20000.0,0.0023,46.0,1518.0,0.9580263463310766,0.9580263463310766,0.9580263463310766
660000.0,20000.0,0.0023,46.0,1564.0,0.95674345075899,0.9567434507589901,0.9567434507589901
680000.0,20000.0,0.0023,46.0,1610.0,0.9554622731157009,0.955462273115701,0.955462273115701
700000.0,20000.0,0.0023,46.0,1656.0,0.9541828111007262,0.9541828111007262,0.9541828111007262
720000.0,20000.0,0.0023,46.0,1702.0,0.9529050624166633,0.9529050624166633,0.9529050624166633
740000.0,20000.0,0.0023,46.0,1748.0,0.9516290247691865,0.9516290247691865,0.9516290247691865
760000.0,20000.0,0.0023,46.0,1794.0,0.9503546958670424,0.9503546958670424,0.9503546958670424
780000.0,20000.0,0.0023,46.0,1840.0,0.9490820734220453,0.9490820734220454,0.9490820734220454
800000.0,20000.0,0.0023,46.0,1886.0,0.9478111551490744,0.9478111551490744,0.9478111551490744
820000.0,20000.0,0.0023,46.0,1932.0,0.9465419387660684,0.9465419387660684,0.9465419387660684
840000.0,20000.0,0.0023,46.0,1978.0,0.9452744219940219,0.9452744219940219,0.9452744219940219
860000.0,20000.0,0.0023,46.0,2024.0,0.9440086025569814,0.9440086025569815,0.9440086025569815
880000.0,20000.0,0.0023,46.0,2070.0,0.9427444781820415,0.9427444781820415,0.9427444781820415
900000.0,20000.0,0.0023,46.0,2116.0,0.9414820465993399,0.9414820465993399,0.9414820465993399
920000.0,20000.0,0.0023,46.0,2162.0,0.9402213055420539,0.940221305542054,0.940221305542054
940000.0,20000.0,0.0023,46.0,2208.0,0.938962252746397,0.938962252746397,0.938962252746397
960000.0,20000.0,0.0023,46.0,2254.0,0.9377048859516133,0.9377048859516133,0.9377048859516133
980000.0,20000.0,0.0023,46.0,2300.0,0.9364492028999747,0.9364492028999748,0.9364492028999748
1000000.0,20000.0,0.0023,46.0,2346.0,0.9351952013367766,0.9351952013367766,0.9351952013367766
1020000.0,20000.0,0.0023,46.0,2392.0,0.9339428790103331,0.9339428790103331,0.9339428790103331
1040000.0,20000.0,0.0023,46.0,2438.0,0.9326922336719742,0.9326922336719742,0.9326922336719742
1060000.0,20000.0,0.0023,46.0,2484.0,0.9314432630760406,0.9314432630760406,0.9314432630760406
1080000.0,20000.0,0.0023,46.0,2530.0,0.9301959649798806,0.9301959649798806,0.9301959649798806
1100000.0,20000.0,0.0023,46.0,2576.0,0.9289503371438451,0.9289503371438451,0.9289503371438451
1120000.0,20000.0,0.0023,46.0,2622.0,0.9277063773312846,0.9277063773312846,0.9277063773312846
1140000.0,20000.0,0.0023,46.0,2668.0,0.9264640833085445,0.9264640833085446,0.9264640833085446
1160000.0,20000.0,0.0023,46.0,2714.0,0.9252234528449613,0.9252234528449613,0.9252234528449613
1180000.0,20000.0,0.0023,46.0,2760.0,0.9239844837128587,0.9239844837128587,0.9239844837128587
1200000.0,20000.0,0.0023,46.0,2806.0,0.9227471736875432,0.9227471736875432,0.9227471736875432
1220000.0,20000.0,0.0023,46.0,2852.0,0.9215115205473008,0.9215115205473008,0.9215115205473008
1240000.0,20000.0,0.0023,46.0,2898.0,0.9202775220733922,0.9202775220733922,0.9202775220733922
1260000.0,20000.0,0.0023,46.0,2944.0,0.9190451760500495,0.9190451760500495,0.9190451760500495
1280000.0,20000.0,0.0023,46.0,2990.0,0.917814480264472,0.917814480264472,0.917814480264472
1300000.0,20000.0,0.0023,46.0,3036.0,0.9165854325068217,0.9165854325068217,0.9165854325068217
1320000.0,20000.0,0.0023,46.0,3082.0,0.9153580305702202,0.9153580305702202,0.9153580305702202
1340000.0,20000.0,0.0023,46.0,3128.0,0.9141322722507446,0.9141322722507446,0.9141322722507446
1360000.0,20000.0,0.0023,46.0,3174.0,0.9129081553474224,0.9129081553474224,0.9129081553474224
1380000.0,20000.0,0.0023,46.0,3220.0,0.9116856776622294,0.9116856776622294,0.9116856776622294
1400000.0,20000.0,0.0023,46.0,3266.0,0.9104648370000841,0.9104648370000841,0.9104648370000841
1420000.0,20000.0,0.0023,46.0,3312.0,0.9092456311688447,0.9092456311688447,0.9092456311688447
1440000.0,20000.0,0.0023,46.0,3358.0,0.908028057979305,0.908028057979305,0.908028057979305
1460000.0,20000.0,0.0023,46.0,3404.0,0.9068121152451901,0.9068121152451901,0.9068121152451901
1480000.0,20000.0,0.0023,46.0,3450.0,0.9055978007831531,0.9055978007831531,0.9055978007831531
1500000.0,20000.0,0.0023,46.0,3496.0,0.9043851124127704,0.9043851124127704,0.9043851124127704
1520000.0,20000.0,0.0023,46.0,3542.0,0.9031740479565384,0.9031740479565386,0.9031740479565386
1540000.0,20000.0,0.0023,46.0,3588.0,0.9019646052398699,0.90196460523987,0.90196460523987
1560000.0,20000.0,0.0023,46.0,3634.0,0.900756782091089,0.9007567820910888,0.9007567820910888
1580000.0,20000.0,0.0023,46.0,3680.0,0.8995505763414274,0.8995505763414275,0.8995505763414275
1600000.0,20000.0,0.0023,46.0,3726.0,0.8983459858250229,0.898345985825023,0.898345985825023
1620000.0,20000.0,0.0023,46.0,3772.0,0.8971430083789118,0.8971430083789118,0.8971430083789118
1640000.0,20000.0,0.0023,46.0,3818.0,0.8959416418430276,0.8959416418430276,0.8959416418430276
1660000.0,20000.0,0.0023,46.0,3864.0,0.8947418840601962,0.8947418840601962,0.8947418840601962
1680000.0,20000.0,0.0023,46.0,3910.0,0.8935437328761322,0.8935437328761322,0.8935437328761322
1700000.0,20000.0,0.0023,46.0,3956.0,0.892347186139435,0.8923471861394351,0.8923471861394351
1720000.0,20000.0,0.0023,46.0,4002.0,0.891152241701585,0.8911522417015851,0.8911522417015851
1740000.0,20000.0,0.0023,46.0,4048.0,0.8899588974169398,0.8899588974169398,0.8899588974169398
1760000.0,20000.0,0.0023,46.0,4094.0,0.8887671511427297,0.8887671511427297,0.8887671511427297
1780000.0,20000.0,0.0023,46.0,4140.0,0.887577000739055,0.8875770007390551,0.8875770007390551
1800000.0,20000.0,0.0023,46.0,4186.0,0.8863884440688815,0.8863884440688815,0.8863884440688815
1820000.0,20000.0,0.0023,46.0,4232.0,0.8852014789980361,0.8852014789980361,0.8852014789980361
1840000.0,20000.0,0.0023,46.0,4278.0,0.8840161033952044,0.8840161033952044,0.8840161033952044
1860000.0,20000.0,0.0023,46.0,4324.0,0.8828323151319254,0.8828323151319254,0.8828323151319254
1880000.0,20000.0,0.0023,46.0,4370.0,0.8816501120825886,0.8816501120825887,0.8816501120825887
1900000.0,20000.0,0.0023,46.0,4416.0,0.88046949212443,0.88046949212443,0.88046949212443
1920000.0,20000.0,0.0023,46.0,4462.0,0.8792904531375281,0.8792904531375281,0.8792904531375281
1940000.0,20000.0,0.0023,46.0,4508.0,0.8781129930048,0.8781129930048,0.8781129930048
1960000.0,20000.0,0.0023,46.0,4554.0,0.8769371096119981,0.8769371096119981,0.8769371096119981
1980000.0,20000.0,0.0023,46.0,4600.0,0.8757628008477059,0.8757628008477059,0.8757628008477059
2000000.0,20000.0,0.0023,46.0,4646.0,0.8745900646033339,0.874590064603334,0.874590064603334
2020000.0,20000.0,0.0023,46.0,4692.0,0.8734188987731173,0.8734188987731173,0.8734188987731173
2040000.0,20000.0,0.0023,46.0,4738.0,0.8722493012541097,0.8722493012541098,0.8722493012541098
2060000.0,20000.0,0.0023,46.0,4784.0,0.8710812699461818,0.871081269946182,0.871081269946182
2080000.0,20000.0,0.0023,46.0,4830.0,0.8699148027520166,0.8699148027520166,0.8699148027520166
2100000.0,20000.0,0.0023,46.0,4876.0,0.8687498975771046,0.8687498975771047,0.8687498975771047
2120000.0,20000.0,0.0023,46.0,4922.0,0.8675865523297424,0.8675865523297424,0.8675865523297424
2140000.0,20000.0,0.0023,46.0,4968.0,0.8664247649210265,0.8664247649210265,0.8664247649210265
2160000.0,20000.0,0.0023,46.0,5014.0,0.8652645332648512,0.8652645332648512,0.8652645332648512
2180000.0,20000.0,0.0023,46.0,5060.0,0.8641058552779044,0.8641058552779044,0.8641058552779044
2200000.0,20000.0,0.0023,46.0,5106.0,0.8629487288796636,0.8629487288796636,0.8629487288796636
2220000.0,20000.0,0.0023,46.0,5152.0,0.861793151992392,0.861793151992392,0.861793151992392
2240000.0,20000.0,0.0023,46.0,5198.0,0.8606391225411358,0.8606391225411358,0.8606391225411358
2260000.0,20000.0,0.0023,46.0,5244.0,0.8594866384537193,0.8594866384537193,0.8594866384537193
2280000.0,20000.0,0.0023,46.0,5290.0,0.8583356976607418,0.8583356976607418,0.8583356976607418
2300000.0,20000.0,0.0023,46.0,5336.0,0.8571862980955736,0.8571862980955736,0.8571862980955736
2320000.0,20000.0,0.0023,46.0,5382.0,0.8560384376943524,0.8560384376943524,0.8560384376943524
2340000.0,20000.0,0.0023,46.0,5428.0,0.8548921143959801,0.8548921143959801,0.8548921143959801
2360000.0,20000.0,0.0023,46.0,5474.0,0.853747326142118,0.853747326142118,0.853747326142118
2380000.0,20000.0,0.0023,46.0,5520.0,0.8526040708771842,0.8526040708771842,0.8526040708771842
2400000.0,20000.0,0.0023,46.0,5566.0,0.851462346548349,0.8514623465483491,0.8514623465483491
2420000.0,20000.0,0.0023,46.0,5612.0,0.8503221511055322,0.8503221511055322,0.8503221511055322
2440000.0,20000.0,0.0023,46.0,5658.0,0.8491834825013984,0.8491834825013984,0.8491834825013984
2460000.0,20000.0,0.0023,46.0,5704.0,0.8480463386913538,0.8480463386913538,0.8480463386913538
2480000.0,20000.0,0.0023,46.0,5750.0,0.846910717633543,0.846910717633543,0.846910717633543
2500000.0,20000.0,0.0023,46.0,5796.0,0.8457766172888441,0.8457766172888441,0.8457766172888441
2520000.0,20000.0,0.0023,46.0,5842.0,0.8446440356208665,0.8446440356208665,0.8446440356208665
2540000.0,20000.0,0.0023,46.0,5888.0,0.8435129705959463,0.8435129705959463,0.8435129705959463
