Run,Full,Minimal
0,['B'],['B']
1,['B'],['B']
2,['A'],['A']
3,['A'],['A']
4,['A'],['A']
5,['B'],['B']
6,['A'],['A']
7,['B'],['B']
8,['B'],['B']
9,['B'],['B']
10,['A'],['A']
11,['B'],['B']
12,['A'],['A']
13,['A'],['A']
14,['B'],['B']
15,['B'],['B']
16,['B'],['B']
17,['B'],['B']
18,['B'],['B']
19,['A'],['A']
20,['B'],['B']
21,['B'],['B']
22,['B'],['B']
23,['B'],['B']
24,['A'],['A']
25,['B'],['B']
26,['B'],['B']
27,['B'],['B']
28,['A'],['A']
29,['A'],['A']
30,['B'],['B']
31,['B'],['B']
32,['A'],['A']
33,['A'],['A']
34,['B'],['B']
35,['B'],['B']
36,['A'],['A']
37,['B'],['B']
38,['B'],['B']
39,['A'],['A']
40,['B'],['B']
41,['B'],['B']
42,['B'],['B']
43,['A'],['A']
44,['B'],['B']
45,['B'],['B']
46,['A'],['A']
47,['B'],['B']
48,['B'],['B']
49,['A'],['A']
50,['A'],['A']
51,['A'],['A']
52,['B'],['B']
53,['A'],['A']
54,['A'],['A']
55,['B'],['B']
56,['A'],['A']
57,['A'],['A']
58,['A'],['A']
59,['B'],['B']
60,['B'],['B']
61,['A'],['A']
62,['B'],['B']
63,['A'],['A']
64,['B'],['B']
65,['B'],['B']
66,['A'],['A']
67,['B'],['B']
68,['B'],['B']
69,['B'],['B']
70,['B'],['B']
71,['A'],['A']
72,['A'],['A']
73,['A'],['A']
74,['A'],['A']
75,['B'],['B']
76,['B'],['B']
77,['A'],['A']
78,['A'],['A']
79,['B'],['B']
80,['B'],['B']
81,['A'],['A']
82,['A'],['A']
83,['A'],['A']
84,['A'],['A']
85,['B'],['B']
86,['B'],['B']
87,['A'],['A']
88,['B'],['B']
89,['A'],['A']
90,['B'],['B']
91,['A'],['A']
92,['B'],['B']
93,['A'],['A']
94,['A'],['A']
95,['B'],['B']
96,['B'],['B']
97,['B'],['B']
98,['B'],['B']
99,['B'],['B']
100,['A'],['A']
101,['A'],['A']
102,['A'],['A']
103,['B'],['B']
104,['A'],['A']
105,['A'],['A']
106,['B'],['B']
107,['A'],['A']
108,['B'],['B']
109,['B'],['B']
110,['B'],['B']
111,['A'],['A']
112,['B'],['B']
113,['B'],['B']
114,['B'],['B']
115,['A'],['A']
116,['B'],['B']
117,['B'],['B']
118,['A'],['A']
119,['A'],['A']
120,['A'],['A']
121,['B'],['B']
122,['A'],['A']
123,['A'],['A']
124,['A'],['A']
125,['A'],['A']
126,['B'],['B']
127,['B'],['B']
128,['A'],['A']
129,['A'],['A']
130,['B'],['B']
131,['A'],['A']
132,['B'],['B']
133,['A'],['A']
134,['A'],['A']
135,['A'],['A']
136,['B'],['B']
137,['A'],['A']
