Run,A,B,Z
0,9951725.747263486,3877213.985901786,3877213.985901786
1,10050265.795301627,5858383.447084045,5858383.447084045
2,9088052.478510823,21785095.190467488,9088052.478510823
3,9427388.147343555,33087972.349663593,9427388.147343555
4,8833468.822549893,14143530.203755675,8833468.822549893
5,9717349.387966786,4979063.723379535,4979063.723379535
6,9604020.564109562,20688375.588009063,9604020.564109562
7,8198182.226257559,6978353.933561497,6978353.933561497
8,11138983.023408655,1108751.9725985718,1108751.9725985718
9,11248904.317136927,2360058.8237190815,2360058.8237190815
10,8577298.913594928,16815985.949509174,8577298.913594928
11,8685816.977481505,667569.9687753418,667569.9687753418
12,9496727.99671997,11883566.12286704,9496727.99671997
13,12172107.283605676,15075320.066421004,12172107.283605676
14,9530112.192693386,8963740.96914398,8963740.96914398
15,11867881.313131206,8384449.168604392,8384449.168604392
16,8968514.511974053,6929139.819488592,6929139.819488592
17,8654887.471901765,5835332.186029886,5835332.186029886
18,7967803.883863786,4730051.173605324,4730051.173605324
19,9890875.665394923,14194310.499390284,9890875.665394923
20,8583526.423852388,4136450.5429155077,4136450.5429155077
21,9979599.897273792,3926640.095820111,3926640.095820111
22,6835199.393479901,6570130.074614388,6570130.074614388
23,9948440.34638022,2014665.3201287831,2014665.3201287831
24,8982397.724088855,8993032.26068208,8982397.724088855
25,9694775.332556639,2184445.863805086,2184445.863805086
26,10825542.530375522,763884.3339409764,763884.3339409764
27,11134553.139938409,734762.1133694245,734762.1133694245
28,11242263.337701881,13404787.558078209,11242263.337701881
29,9302714.587053956,29139984.587635115,9302714.587053956
30,8697684.690838214,1314651.679527624,1314651.679527624
31,9085216.29880881,8254588.265758169,8254588.265758169
32,9223653.41739274,16144353.07359903,9223653.41739274
33,10410211.753015844,11489598.629912036,10410211.753015844
34,8680361.778011043,6171815.0828534905,6171815.0828534905
35,8401159.172754306,7052385.921782624,7052385.921782624
36,10429055.882573674,13250286.467369419,10429055.882573674
37,10395500.07895883,435296.8024046099,435296.8024046099
38,9919319.32537524,8321434.81968441,8321434.81968441
39,9134404.231435083,11275423.399369573,9134404.231435083
40,10604301.782652443,266889.7333328251,266889.7333328251
