Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
0.0,35786.0,6.75,0.0023,46.0
20000.0,35786.0,6.75,0.0023,92.0
40000.0,35786.0,6.75,0.0023,138.0
60000.0,35786.0,6.75,0.0023,184.0
80000.0,35786.0,6.75,0.0023,230.0
100000.0,35786.0,6.75,0.0023,276.0
120000.0,35786.0,6.75,0.0023,322.0
140000.0,35786.0,6.75,0.0023,368.0
160000.0,35786.0,6.75,0.0023,414.0
180000.0,35786.0,6.75,0.0023,460.0
200000.0,35786.0,6.75,0.0023,506.0
220000.0,35786.0,6.75,0.0023,552.0
240000.0,35786.0,6.75,0.0023,598.0
260000.0,35786.0,6.75,0.0023,644.0
280000.0,35786.0,6.75,0.0023,690.0
300000.0,35786.0,6.75,0.0023,736.0
320000.0,35786.0,6.75,0.0023,782.0
340000.0,35786.0,6.75,0.0023,828.0
360000.0,35786.0,6.75,0.0023,874.0
380000.0,35786.0,6.75,0.0023,920.0
400000.0,35786.0,6.75,0.0023,966.0
420000.0,35786.0,6.75,0.0023,1012.0
440000.0,35786.0,6.75,0.0023,1058.0
460000.0,35786.0,6.75,0.0023,1104.0
480000.0,35786.0,6.75,0.0023,1150.0
500000.0,35786.0,6.75,0.0023,1196.0
520000.0,35786.0,6.75,0.0023,1242.0
540000.0,35786.0,6.75,0.0023,1288.0
560000.0,35786.0,6.75,0.0023,1334.0
580000.0,35786.0,6.75,0.0023,1380.0
600000.0,35786.0,6.75,0.0023,1426.0
620000.0,35786.0,6.75,0.0023,1472.0
640000.0,35786.0,6.75,0.0023,1518.0
660000.0,35786.0,6.75,0.0023,1564.0
680000.0,35786.0,6.75,0.0023,1610.0
700000.0,35786.0,6.75,0.0023,1656.0
720000.0,35786.0,6.75,0.0023,1702.0
740000.0,35786.0,6.75,0.0023,1748.0
760000.0,35786.0,6.75,0.0023,1794.0
780000.0,35786.0,6.75,0.0023,1840.0
800000.0,35786.0,6.75,0.0023,1886.0
820000.0,35786.0,6.75,0.0023,1932.0
840000.0,35786.0,6.75,0.0023,1978.0
860000.0,35786.0,6.75,0.0023,2024.0
880000.0,35786.0,6.75,0.0023,2070.0
900000.0,35786.0,6.75,0.0023,2116.0
920000.0,35786.0,6.75,0.0023,2162.0
940000.0,35786.0,6.75,0.0023,2208.0
960000.0,35786.0,6.75,0.0023,2254.0
980000.0,35786.0,6.75,0.0023,2300.0
1000000.0,35786.0,6.75,0.0023,2346.0
1020000.0,35786.0,6.75,0.0023,2392.0
1040000.0,35786.0,6.75,0.0023,2438.0
1060000.0,35786.0,6.75,0.0023,2484.0
1080000.0,35786.0,6.75,0.0023,2530.0
1100000.0,35786.0,6.75,0.0023,2576.0
1120000.0,35786.0,6.75,0.0023,2622.0
1140000.0,35786.0,6.75,0.0023,2668.0
1160000.0,35786.0,6.75,0.0023,2714.0
1180000.0,35786.0,6.75,0.0023,2760.0
1200000.0,35786.0,6.75,0.0023,2806.0
1220000.0,35786.0,6.75,0.0023,2852.0
1240000.0,35786.0,6.75,0.0023,2898.0
1260000.0,35786.0,6.75,0.0023,2944.0
1280000.0,35786.0,6.75,0.0023,2990.0
1300000.0,35786.0,6.75,0.0023,3036.0
1320000.0,35786.0,6.75,0.0023,3082.0
1340000.0,35786.0,6.75,0.0023,3128.0
1360000.0,35786.0,6.75,0.0023,3174.0
1380000.0,35786.0,6.75,0.0023,3220.0
1400000.0,35786.0,6.75,0.0023,3266.0
1420000.0,35786.0,6.75,0.0023,3312.0
1440000.0,35786.0,6.75,0.0023,3358.0
1460000.0,35786.0,6.75,0.0023,3404.0
1480000.0,35786.0,6.75,0.0023,3450.0
1500000.0,35786.0,6.75,0.0023,3496.0
1520000.0,35786.0,6.75,0.0023,3542.0
1540000.0,35786.0,6.75,0.0023,3588.0
1560000.0,35786.0,6.75,0.0023,3634.0
1580000.0,35786.0,6.75,0.0023,3680.0
1600000.0,35786.0,6.75,0.0023,3726.0
1620000.0,35786.0,6.75,0.0023,3772.0
1640000.0,35786.0,6.75,0.0023,3818.0
1660000.0,35786.0,6.75,0.0023,3864.0
1680000.0,35786.0,6.75,0.0023,3910.0
1700000.0,35786.0,6.75,0.0023,3956.0
1720000.0,35786.0,6.75,0.0023,4002.0
1740000.0,35786.0,6.75,0.0023,4048.0
