Energy (MeV),Unshielded,0.100 mm,0.370 mm,0.500 mm
0.1,1.0,0.08375912408759124,0.038102189781021895,0.031357664233576645
0.11,1.0,0.08823076923076924,0.04015384615384615,0.03304230769230769
0.12,1.0,0.09253430185633575,0.042130750605326873,0.034665052461662633
0.14,1.0,0.10088066930867459,0.04597093791281374,0.03781594011448701
0.16,1.0,0.10884450784593439,0.04959581550166429,0.040827389443651926
0.18,1.0,0.11650534895568009,0.053132959755476314,0.043728986245542535
0.2,1.0,0.12386117136659436,0.05656182212581345,0.04654013015184382
0.22,1.0,0.13099885189437427,0.05981630309988519,0.049247990815155
0.25,1.0,0.1413151364764268,0.06464019851116626,0.053200992555831265
0.28,1.0,0.15139813581890812,0.06930758988015978,0.05707057256990679
0.32,1.0,0.16422881969587255,0.07530774800868936,0.062027516292541635
0.35,1.0,0.1736196319018405,0.07975460122699386,0.06565950920245399
0.4,1.0,0.18862876254180602,0.08687290969899665,0.07153010033444816
0.45,1.0,0.20325497287522604,0.09376130198915009,0.07727848101265823
0.5,1.0,0.2174757281553398,0.10058252427184466,0.0829126213592233
0.55,1.0,0.23111985911115715,0.10722055319589764,0.08837667046514038
0.63,1.0,0.25236305659947617,0.1176403598678966,0.0969935087119918
0.71,1.0,0.27296392711045,0.1276806743522995,0.10539233915953886
0.8,1.0,0.2951351351351351,0.13891891891891892,0.11464864864864865
0.9,1.0,0.3187444739168877,0.15089890951959917,0.12468317123489538
1.0,1.0,0.34157231701483015,0.1628129484930633,0.13457183862222932
1.1,1.0,0.3630442235173123,0.17432293452176895,0.14422351731230718
1.2,1.0,0.3839809384164223,0.18566715542521994,0.1537573313782991
1.4,1.0,0.42259933774834435,0.2077814569536424,0.1724337748344371
1.6,1.0,0.4577286339553098,0.22916378714581895,0.19050909928587884
1.8,1.0,0.4909967030180066,0.2497083439005833,0.20803956378392088
2.0,1.0,0.5236645446996956,0.26974813174647105,0.22524218101300858
2.2,1.0,0.5518585131894485,0.2885791366906475,0.2417865707434053
2.5,1.0,0.5905748663101604,0.31587566844919784,0.26600935828877004
2.8,1.0,0.6229266494655363,0.34190932546995945,0.28886841135274605
3.2,1.0,0.6571310116086235,0.37524875621890547,0.317620232172471
3.5,1.0,0.6821043165467626,0.3988309352517986,0.3381294964028777
