'*',    74,     1,    32,    37,     3,    32,    -1,     2
'SPENVIS 4.6.11.3477          - 13-Sep-2022 16:24:49'
'PRJ_DEF', -1,'PROJECT'
'PRJ_HDR', -1,'project'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    3,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  26753.00000000,' '
'MIS_DUR',  1, 9.000000E+01,'days'
'ORB_HDR', -1,'LEO'
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  26663.00000000,' '
'ORB_YEA',  1, 2023,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 1.000000E+03,'km'
'ORB_PER',  1, 1.000000E+03,'km'
'ORB_INC',  1,     0.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.749430E+00,'hrs'
'ORB_DUR',  1, 7.289292E-02,'days'
'ORB_TSE',  1,  26694.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/04/2023 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   3'
 0.05, 1.50, 0.00
'Duration: 90.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1: LEO'
 0.05, 2.00, 0.00
'Apogee: 1000.0 km'
 0.05, 1.50, 0.00
'Perigee: 1000.0 km'
 0.50, 0.00, 0.50
'Inclination: 0.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 1.75 hrs'
 0.05, 1.50, 0.00
'Duration: 0.07 days'
 0.50, 0.00, 0.50
'1.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2023 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 01/01/2023 01:44:57'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MAX Integral Flux >','ENERGY'
  2.1236E-01,  1.2339E+00,  1.1081E+04,  8.8435E+03,  5.1553E+03,  2.2373E+03,  7.2281E+02,  2.3352E+02,  1.2143E+02,  6.3138E+01,  3.6942E+01,  1.6014E+01,  8.3038E+00,  4.3059E+00,  2.8718E+00,  1.9153E+00,  1.1333E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1182E-01,  1.2439E+00,  2.1516E+04,  1.7369E+04,  1.0030E+04,  4.2984E+03,  1.3673E+03,  4.3491E+02,  2.2269E+02,  1.1402E+02,  6.6360E+01,  2.9040E+01,  1.4928E+01,  7.6739E+00,  5.0941E+00,  3.3815E+00,  2.0252E+00,  1.2129E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1098E-01,  1.2535E+00,  4.1005E+04,  3.3007E+04,  1.8703E+04,  7.9233E+03,  2.5094E+03,  7.9474E+02,  4.0582E+02,  2.0723E+02,  1.2084E+02,  5.3591E+01,  2.7593E+01,  1.4207E+01,  9.3515E+00,  6.1554E+00,  3.7325E+00,  2.2633E+00,  1.2781E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0981E-01,  1.2624E+00,  7.1217E+04,  5.6178E+04,  3.0725E+04,  1.2889E+04,  4.1474E+03,  1.3345E+03,  6.9325E+02,  3.6012E+02,  2.1270E+02,  9.5910E+01,  5.0250E+01,  2.6328E+01,  1.7321E+01,  1.1396E+01,  7.0527E+00,  4.3647E+00,  2.4374E+00,  1.3611E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0830E-01,  1.2698E+00,  1.2451E+05,  9.6676E+04,  5.1162E+04,  2.1249E+04,  6.9256E+03,  2.2573E+03,  1.1885E+03,  6.2579E+02,  3.7330E+02,  1.7051E+02,  9.0569E+01,  4.8107E+01,  3.1623E+01,  2.0787E+01,  1.3065E+01,  8.2113E+00,  4.5733E+00,  2.5471E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0646E-01,  1.2752E+00,  2.0572E+05,  1.5853E+05,  8.2720E+04,  3.4291E+04,  1.1293E+04,  3.7192E+03,  1.9708E+03,  1.0443E+03,  6.2653E+02,  2.8908E+02,  1.5517E+02,  8.3290E+01,  5.4724E+01,  3.5956E+01,  2.2867E+01,  1.4542E+01,  7.9847E+00,  4.3842E+00,  1.4616E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0433E-01,  1.2780E+00,  3.2082E+05,  2.4390E+05,  1.2587E+05,  5.2050E+04,  1.7245E+04,  5.7134E+03,  3.0419E+03,  1.6196E+03,  9.7499E+02,  4.5174E+02,  2.4361E+02,  1.3137E+02,  8.6261E+01,  5.6642E+01,  3.6197E+01,  2.3131E+01,  1.2783E+01,  7.0645E+00,  2.3218E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0195E-01,  1.2779E+00,  4.4795E+05,  3.4079E+05,  1.7880E+05,  7.4305E+04,  2.4458E+04,  8.0508E+03,  4.2855E+03,  2.2812E+03,  1.3731E+03,  6.3612E+02,  3.4297E+02,  1.8492E+02,  1.2142E+02,  7.9732E+01,  5.0935E+01,  3.2538E+01,  1.7961E+01,  9.9146E+00,  3.2665E+00,  1.0762E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9940E-01,  1.2746E+00,  5.7294E+05,  4.4095E+05,  2.3256E+05,  9.6707E+04,  3.1708E+04,  1.0396E+04,  5.5031E+03,  2.9130E+03,  1.7461E+03,  8.0441E+02,  4.3116E+02,  2.3109E+02,  1.5181E+02,  9.9727E+01,  6.3297E+01,  4.0175E+01,  2.2303E+01,  1.2381E+01,  4.0719E+00,  1.3391E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9676E-01,  1.2685E+00,  6.7321E+05,  5.2067E+05,  2.8273E+05,  1.1877E+05,  3.8597E+04,  1.2543E+04,  6.5685E+03,  3.4397E+03,  2.0448E+03,  9.3126E+02,  4.9316E+02,  2.6116E+02,  1.7163E+02,  1.1279E+02,  7.0598E+01,  4.4187E+01,  2.4619E+01,  1.3717E+01,  4.6126E+00,  1.5511E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
